,id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
5039,5040,Sin novedad,NO RELEVANTE,sin novedad,NR
794,795,Se encuentra bien de salud. No tiene necesidades por el momento.,POSITIVO,se encuentra bien de salud no tiene necesidades por el momento ,R
3039,3040,"el marido tiene problemas de salud, llama al hospital y no le dan respuestas, esta preocupada porque no sabe a donde ir",NEGATIVO,el marido tiene problemas de salud llama al hospital y no le dan respuestas esta preocupada porque no sabe a donde ir,R
10251,10252,estaban contentos porque vino a verlos la hija que vive en pilar y no la veían desde que comenzo la cuarentena,POSITIVO,estaban contentos porque vino a verlos la hija que vive en pilar y no la veian desde que comenzo la cuarentena,R
8651,8652,"REALICÉ UN NUEVO LLAMADO A BEATRIZ, POR PEDIDO DEL ÁREA DE CULTORA, PARA AVISARLE DEL CONTACTO DEL ÁREA MENCIONADA, PARA PARTICIPAR DE TALLERES PARA ADULTOS MAYORES. ELLA ACCEDIÓ GUSTOSA",NEUTRAL,realice un nuevo llamado a beatriz por pedido del area de cultora para avisarle del contacto del area mencionada para participar de talleres para adultos mayores ella accedio gustosa,NR
1387,1388,"Lo llame para informarle que había vacunas en unas salitas y me informó que ya se habían comunicado la semana pasada y que ya se habían vacunado, lo habían llamado desde otro sector.",NEUTRAL,lo llame para informarle que habia vacunas en unas salitas y me informo que ya se habian comunicado la semana pasada y que ya se habian vacunado lo habian llamado desde otro sector ,NR
3793,3794,Bueno hoy se encontraba muy enojada y preocupada xq ell tiene enfermedades preexistentes y como bien dice a pesar del covid19 éstas siguen su curso y como es atendida x PAMI no le dan bolilla ni en el hospital ni en los consultorios y dice que deberían tener un lugar donde atender a los enfermos del virus y otro para atender a las personas que tienen otras dolencias.,NEGATIVO,bueno hoy se encontraba muy enojada y preocupada xq ell tiene enfermedades preexistentes y como bien dice a pesar del covid_digit_ estas siguen su curso y como es atendida x pami no le dan bolilla ni en el hospital ni en los consultorios y dice que deberian tener un lugar donde atender a los enfermos del virus y otro para atender a las personas que tienen otras dolencias ,R
12545,12546,"volvió a agradecerme, pero me repitió que esta con su familia ahora y no hace falta q la llame más",NEUTRAL,volvio a agradecerme pero me repitio que esta con su familia ahora y no hace falta q la llame mas,NR
6628,6629,"me comunique en el día de hoy, la señora se encuentra bien.",POSITIVO,me comunique en el dia de hoy la senora se encuentra bien ,R
7693,7694,"sigue trabajando en el geriatrico...instituto 9 de julio en san telmo
tiene auto y va al centro directo",NEUTRAL,sigue trabajando en el geriatrico  instituto _digit_ de julio en san telmo
tiene auto y va al centro directo,NR
9007,9008,hablamos por wasap por el dia del amigo,NO RELEVANTE,hablamos por wasap por el dia del amigo,NR
10735,10736,"la sra dilma indica que no necesita de nuestros llamados ya que se encuentra conviviendo con su esposo, hija y nietos. todos pintando su domiciliio entretenidos con ello. le pregunté si le hacía falta algo que el municipio le pudiera ofrecer y me dijo que no.",POSITIVO,la sra dilma indica que no necesita de nuestros llamados ya que se encuentra conviviendo con su esposo hija y nietos todos pintando su domiciliio entretenidos con ello le pregunte si le hacia falta algo que el municipio le pudiera ofrecer y me dijo que no ,R
4220,4221,"Nos atendio,  comunicación fluida, esa con su marido y su nieta y se arreglan bastante bien.",POSITIVO,nos atendio  comunicacion fluida esa con su marido y su nieta y se arreglan bastante bien ,R
7564,7565,"Tranquila, refiere estar un poco cansada de no salir, pregunta si puede ir a dar una vuelta porque se siente muy encerrada, hasta hoy salio solamente a darse la vacuna.
Se evacuan dudascy se la contiene",NEGATIVO,tranquila refiere estar un poco cansada de no salir pregunta si puede ir a dar una vuelta porque se siente muy encerrada hasta hoy salio solamente a darse la vacuna 
se evacuan dudascy se la contiene,R
10563,10564,"hoy no pude comunicarme con pedro, el marido de rosa.",NO RELEVANTE,hoy no pude comunicarme con pedro el marido de rosa ,NR
11059,11060,me atendió el contestador automático. dejé msj diciendo que me comunicaría nuevamente en el transcurso del día.,NO RELEVANTE,me atendio el contestador automatico deje msj diciendo que me comunicaria nuevamente en el transcurso del dia ,NR
2141,2142,"Llamado de presentación se encuentra bien, no quiere que la llamen muy seguido sino cada tanto. Tiene asistencia de los hijos.",POSITIVO,llamado de presentacion se encuentra bien no quiere que la llamen muy seguido sino cada tanto tiene asistencia de los hijos ,R
10941,10942,"llamo a la señora me vuelve a informar que no necesita ayuda que se encuentra bien.
que de lo contrario se comunica ella.
quede en volverla a llamar la semana entrante",POSITIVO,llamo a la senora me vuelve a informar que no necesita ayuda que se encuentra bien 
que de lo contrario se comunica ella 
quede en volverla a llamar la semana entrante,R
12495,12496,un poco bajon ..pero bien,NEGATIVO,un poco bajon  pero bien,R
1956,1957,"Charlamos un rato largo, se encuentra bien.",POSITIVO,charlamos un rato largo se encuentra bien ,R
895,896,esta bien totalmente recuperada,POSITIVO,esta bien totalmente recuperada,R
10996,10997,luisa esta entrando en confianza. me pidio mi celular por si necesita algo.,POSITIVO,luisa esta entrando en confianza me pidio mi celular por si necesita algo ,R
452,453,Como siempre NO CONTESTA.  El NO quiere participar de este programa.  Creo que seria prudente darle de BAJA.,NO RELEVANTE,como siempre no contesta  el no quiere participar de este programa  creo que seria prudente darle de baja ,NR
6367,6368,"He intentado comunicarme nuevamente sin lograr ubicar al AM
Atenta a la indicación, procederé a marcar la casilla de ""se mudó"" y seguir adelante
Lamento no haya podido establecerse contacto. Espero sinceramente no haga falta otro tipo de intervención.",NO RELEVANTE,he intentado comunicarme nuevamente sin lograr ubicar al am
atenta a la indicacion procedere a marcar la casilla de se mudo y seguir adelante
lamento no haya podido establecerse contacto espero sinceramente no haga falta otro tipo de intervencion ,NR
11377,11378,no atiende tel,NO RELEVANTE,no atiende tel,NR
11461,11462,no logré comunicarme con los números de contacto.,NO RELEVANTE,no logre comunicarme con los numeros de contacto ,NR
5939,5940,Llamado realizado no pidió nada.,NO RELEVANTE,llamado realizado no pidio nada ,NR
9768,9769,conversamos un buen rato se encuentra bien tranquila y agradece los llamados.,POSITIVO,conversamos un buen rato se encuentra bien tranquila y agradece los llamados ,R
1650,1651,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,el dia _digit_ _digit_ _digit_ se entrego alimentos en domicilio,NEC_OP
9791,9792,deje mensaje no atiende.,NO RELEVANTE,deje mensaje no atiende ,NR
6485,6486,"MARIA DEL CARMEN BIEN, PREOCUPADA POR EL AISLAMIENTO Y LOS CONTAGIOS",NEGATIVO,maria del carmen bien preocupada por el aislamiento y los contagios,R
2420,2421,La Sra. Isidora Sanchez tiene solo un número de celular que pertenece a su sobrino Eduardo e indica siempre que ella  no está disponible. Mencionó que no estaban interesados en recibir más llamadas ni ayuda del programa.,NO RELEVANTE,la sra isidora sanchez tiene solo un numero de celular que pertenece a su sobrino eduardo e indica siempre que ella no esta disponible menciono que no estaban interesados en recibir mas llamadas ni ayuda del programa ,NR
2803,2804,"Me comento que estaban cansados (podridos), miran muchas películas en Netflix y Youtube. No se juntan con otros jubilados. A la señora le gusta la astrologia, leyo mucho del tema.",NEGATIVO,me comento que estaban cansados podridos  miran muchas peliculas en netflix y youtube no se juntan con otros jubilados a la senora le gusta la astrologia leyo mucho del tema ,R
12644,10395,"Hablamos del frío se encuentra de.muy mal humor, su ánimo es enojado con la pandemia.",NEGATIVO,hablamos del frio se encuentra de muy mal humor su animo es enojado con la pandemia ,R
7209,7210,Charlamos un ratito,NEUTRAL,charlamos un ratito,NR
2995,2996,no contesta,NO RELEVANTE,no contesta,NR
2150,2151,no contesta el teléfono,NO RELEVANTE,no contesta el telefono,NR
1013,1014,HABLE CON SEFERINO Y ESTA BIEN PASO LINDO  FIN DE SEMANA,POSITIVO,hable con seferino y esta bien paso lindo fin de semana,R
3796,3797,Modesta se encuentra bien se escucha perfecto  esperando q termine  la cuarentena para poder salir,POSITIVO,modesta se encuentra bien se escucha perfecto esperando q termine la cuarentena para poder salir,R
3138,3139,"La Señora Beatriz Dib el día de ayer se encontraba bien .
La Señora Beatriz Dib el día de hoy  se encuentra bien.",POSITIVO,la senora beatriz dib el dia de ayer se encontraba bien 
la senora beatriz dib el dia de hoy se encuentra bien ,R
6140,6141,Llamé pero no conseguí respuesta,NO RELEVANTE,llame pero no consegui respuesta,NR
11467,11468,no logro comunicarme .,NO RELEVANTE,no logro comunicarme ,NR
6859,6860,esta necesitando ayuda alimentaria,NECESIDADES OPERATIVAS,esta necesitando ayuda alimentaria,NEC_OP
12854,12152,"Charlamos y me conto que le pone mal que tiene una tia en corrientes que esta solita,asi que habla por telefono",NEGATIVO,charlamos y me conto que le pone mal que tiene una tia en corrientes que esta solita asi que habla por telefono,R
10393,10394,"hable con elena, estan bien de animo. el hijo los va a ver todos los dias, y vean al nieto por telefono. no hacen video llamadas (no saben cómo se usa), el hijo les muestra el nieto por el celular.
les avisé del frio de los proximos dias para que estén atentos y se abriguen.",POSITIVO,hable con elena estan bien de animo el hijo los va a ver todos los dias y vean al nieto por telefono no hacen video llamadas no saben como se usa  el hijo les muestra el nieto por el celular 
les avise del frio de los proximos dias para que esten atentos y se abriguen ,R
12664,10712,"Me cuenta que que está cansada de la situación sale cada 15 días  pero la agota la situación es muy independiente realiza llamadas por whatsaap,  zoom habla con amigas de Valencia, y Alemania, y no le  interesa los centros de jubilados dice que no son para ella",NEGATIVO,me cuenta que que esta cansada de la situacion sale cada _digit_ dias pero la agota la situacion es muy independiente realiza llamadas por whatsaap  zoom habla con amigas de valencia y alemania y no le interesa los centros de jubilados dice que no son para ella,R
10315,10316,"florentino se encuentra bien de ánimo, tranquilo. su familia lo frecuenta y lo  asiste. 

me comenta que la hija quiere corroborar mis datos como voluntaria. le facilité el tel de la municipalidad",POSITIVO,florentino se encuentra bien de animo tranquilo su familia lo frecuenta y lo asiste 

me comenta que la hija quiere corroborar mis datos como voluntaria le facilite el tel de la municipalidad,R
7040,7041,"Se encuentra bien Liliana Bessone, a la espera de la caja de alimentos.",NECESIDADES OPERATIVAS,se encuentra bien liliana bessone a la espera de la caja de alimentos ,NEC_OP
2888,2889,No pude comunicarme,NO RELEVANTE,no pude comunicarme,NR
1229,1230,"esta de buen animo, dolorida por su artrosis. pacte nueva llamada para coordinar entrega en en el domicilio del bolson alimentario",NECESIDADES OPERATIVAS,esta de buen animo dolorida por su artrosis pacte nueva llamada para coordinar entrega en en el domicilio del bolson alimentario,NEC_OP
7675,7676,Todavía si buscar los alimentos ni se vacuno tampoco. Quedé en everiguar en el 130 para ver cómo estaba su situación para cobrar la jubilación.,NECESIDADES OPERATIVAS,todavia si buscar los alimentos ni se vacuno tampoco quede en everiguar en el _digit_ para ver como estaba su situacion para cobrar la jubilacion ,NEC_OP
11232,11233,"me vuelve a llamar para que por favor no me olvide de ella y que mi llamados no sean mentirosos, quedé en que yo llamaré mañana lunes a salud y psicología,  está muy angustiada, hace un día que no come y está en la cama.  por favor revean los casos particulares.  no la estoy pudiendo ayudar y me siento en falta con ella.",NEGATIVO,me vuelve a llamar para que por favor no me olvide de ella y que mi llamados no sean mentirosos quede en que yo llamare manana lunes a salud y psicologia  esta muy angustiada hace un dia que no come y esta en la cama  por favor revean los casos particulares  no la estoy pudiendo ayudar y me siento en falta con ella ,R
9461,9462,18;00 hs hablamos me conto que su hija le pudo pagar las facturas que se vacuno en el anselmo marini y que las chicas la atendieron re bien que vive con una prima que tiene 82 años consiguio deliveri de verduleria . yo le brinde mi celular y ella me paso el de ella 1557022418.,POSITIVO,_digit_;_digit_ hs hablamos me conto que su hija le pudo pagar las facturas que se vacuno en el anselmo marini y que las chicas la atendieron re bien que vive con una prima que tiene _digit_ anos consiguio deliveri de verduleria  yo le brinde mi celular y ella me paso el de ella _digit_ ,R
6543,6544,Me pregunta la Sra. Marcela cuando le va a llegar la caja con alimentos. Que ya serían los 15 días. Mil gracias!,NECESIDADES OPERATIVAS,me pregunta la sra marcela cuando le va a llegar la caja con alimentos que ya serian los _digit_ dias mil gracias,NEC_OP
2472,2473,"Esta muy bien, aburrida pero muy bien, le informe de la eximición del ABL y me dijo que ya la tenia.",POSITIVO,esta muy bien aburrida pero muy bien le informe de la eximicion del abl y me dijo que ya la tenia ,R
1829,1830,"Hable con Patricia, estaba de buen animo. Hoy fue a realizar un mandado a la carnicería y hacia inca-pie en los cuidados de barbijo y distanciamiento. También me contó que habla seguido con su hermana y eso la entretiene. Mira películas . Quedamos en hablar en unos dias.",POSITIVO,hable con patricia estaba de buen animo hoy fue a realizar un mandado a la carniceria y hacia inca-pie en los cuidados de barbijo y distanciamiento tambien me conto que habla seguido con su hermana y eso la entretiene mira peliculas  quedamos en hablar en unos dias ,R
8433,8434,Sin novedad,NO RELEVANTE,sin novedad,NR
4585,4586,Me envia mensaje para llevar recetas a la farmacia.,NECESIDADES OPERATIVAS,me envia mensaje para llevar recetas a la farmacia ,NEC_OP
2923,2924,Primer contacto. Me presenté. Repetiré llamado.,NO RELEVANTE,primer contacto me presente repetire llamado ,NR
7567,7568,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 31/07/2020,NECESIDADES OPERATIVAS,se entrego material cognitivo en domicilio el _digit_ _digit_ _digit_,NEC_OP
12245,12246,"sigue la misma grabación , el número no corresponde a un abonado en servicio",NO RELEVANTE,sigue la misma grabacion  el numero no corresponde a un abonado en servicio,NR
3515,3516,quedamos en habla esta noche para coordinar la visita de un medico del Hospital,NECESIDADES OPERATIVAS,quedamos en habla esta noche para coordinar la visita de un medico del hospital,NEC_OP
5073,5074,"Atendió el marido, están  bien se cuida del frió, agradece el llamado.",POSITIVO,atendio el marido estan bien se cuida del frio agradece el llamado ,R
92,93,SE ENTREGA ALIMENTOS EN DOMICILIO EL 08/07/2020,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
5951,5952,"Llamado de presentación, la persona se encuentra bien. Vive solo y sale a realizar las compras que necesita. Igualmente tiene personas que lo ayudan.",POSITIVO,llamado de presentacion la persona se encuentra bien vive solo y sale a realizar las compras que necesita igualmente tiene personas que lo ayudan ,R
254,255,Se realiza la derivación correspondiente para el envío de alimentos a domicilio. A la brevedad se estarán comunicando para coordinar la entrega.,NECESIDADES OPERATIVAS,se realiza la derivacion correspondiente para el envio de alimentos a domicilio a la brevedad se estaran comunicando para coordinar la entrega ,NEC_OP
9358,9359, me atendió el contestador. llamaré mañana,NO RELEVANTE, me atendio el contestador llamare manana,NR
9573,9574,ambos teléfonos no están disponibles para recibir llamadas,NO RELEVANTE,ambos telefonos no estan disponibles para recibir llamadas,NR
9326,9327,El AM retirará la caja de alimentos en irigoyen 4848 Florida oeste se encuentra bien de ánimo contenido por familiares .estado general muy bueno.,POSITIVO,el am retirara la caja de alimentos en irigoyen _digit_ florida oeste se encuentra bien de animo contenido por familiares estado general muy bueno ,R
1226,1227,"No esta bien de animo, cansada, desanimada... trate de escucharla, incentivarla a hacer alguna clase, o curso. agotada del aislamiento",NEGATIVO,no esta bien de animo cansada desanimada  trate de escucharla incentivarla a hacer alguna clase o curso agotada del aislamiento,R
2561,2562,no contesta el teléfono,NO RELEVANTE,no contesta el telefono,NR
6702,6703,Se entrego alimentos en domicilio el 28/08/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
6360,6361,Sin novedad,NO RELEVANTE,sin novedad,NR
4174,4175,La Señora Liliana Andriozzi manifestó necesidad alimentos por lo que se mando mail solicitandola.,NECESIDADES OPERATIVAS,la senora liliana andriozzi manifesto necesidad alimentos por lo que se mando mail solicitandola ,NEC_OP
8977,8978,Se encuentra bien.,POSITIVO,se encuentra bien ,R
1796,1797,Se entrega Alimentos en domicilio 21/8/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
10180,10181,"está flia está necesita de mercadería y saber en q lugar poduen vacunarse , ya q fueron y no había vacunas. saludos",NO RELEVANTE,esta flia esta necesita de mercaderia y saber en q lugar poduen vacunarse  ya q fueron y no habia vacunas saludos,NR
2428,2429,se solicito entrega de caja de alimentos,NECESIDADES OPERATIVAS,se solicito entrega de caja de alimentos,NEC_OP
3466,3467,"Hablamos un rato, está mejor porque le cambiaron una medicación que la hacía dormirse todo el tiempo, le bajaron la dosis. La oigo muy bien, contenta por el llamado y porque la llamó Fernanda León. Quedamos en hablar.",POSITIVO,hablamos un rato esta mejor porque le cambiaron una medicacion que la hacia dormirse todo el tiempo le bajaron la dosis la oigo muy bien contenta por el llamado y porque la llamo fernanda leon quedamos en hablar ,R
12546,12547,"voy al centro a retirar la receta. al volver se me rompe la moto, hablo con ella para combinar y alcanzarcela en otro momento. me dice que hasta la semana que viene no tiene apuro. quedamos en hablar.",NEUTRAL,voy al centro a retirar la receta al volver se me rompe la moto hablo con ella para combinar y alcanzarcela en otro momento me dice que hasta la semana que viene no tiene apuro quedamos en hablar ,NR
6995,6996,"Charlamos sobre las series que ve en netflix, de sus nietos y de lo que preparo para comer",NEUTRAL,charlamos sobre las series que ve en netflix de sus nietos y de lo que preparo para comer,NR
9219,9220,me comunico la señora de Vicente que necesita urgente una psicologa,NECESIDADES OPERATIVAS,me comunico la senora de vicente que necesita urgente una psicologa,NEC_OP
8369,8370,Sin novedad,NO RELEVANTE,sin novedad,NR
4243,4244,"19.30hs. me contacte con Graciela  que vive con su hermano Roberto, ella es lucida y muy activa,recibe el bolsón de alimentos cada 15 dias y me dijo que siempre la llama Fernanda que trabaja en el jardín de infantes a la vuelta del hospital Houssay ,para ver como esta .Quedamos que la llame cada 15 dias por si necesita algo mas específicamente remedios, porque refirió que están muy caros.",NECESIDADES OPERATIVAS,_digit_ _digit_hs me contacte con graciela que vive con su hermano roberto ella es lucida y muy activa recibe el bolson de alimentos cada _digit_ dias y me dijo que siempre la llama fernanda que trabaja en el jardin de infantes a la vuelta del hospital houssay para ver como esta quedamos que la llame cada _digit_ dias por si necesita algo mas especificamente remedios porque refirio que estan muy caros ,NEC_OP
4787,4788,esta muy bien y me volvío a pedir mis datos,POSITIVO,esta muy bien y me volvio a pedir mis datos,R
2292,2293,"esta bien, entretenida",POSITIVO,esta bien entretenida,R
5311,5312,"Buenas tardes. No me comunico con la señora debido al pedido que me manifestó que no requería ningún tipo de asistencia.
Muchas Gracias",NO RELEVANTE,buenas tardes no me comunico con la senora debido al pedido que me manifesto que no requeria ningun tipo de asistencia 
muchas gracias,NR
8976,8977,Siguen bien,POSITIVO,siguen bien,R
1440,1441,Se encuentra muy bien,POSITIVO,se encuentra muy bien,R
2711,2712,DE BUEN ANIMO,POSITIVO,de buen animo,R
5954,5955,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva ii en domicilio _digit_ _digit_ _digit_ ,NEC_OP
5276,5277,No contesto el llamado.,NO RELEVANTE,no contesto el llamado ,NR
3359,3360,se encuentran bien,POSITIVO,se encuentran bien,R
640,641,"25 de Agosto.Esther Vilegas.  Se siente bien , la llamaron ´para decirle que le llevan la bolsa de comida.  Está un poco refriada, pero que está atenta a cualquier otro sintoma.",NECESIDADES OPERATIVAS,_digit_ de agosto esther vilegas  se siente bien  la llamaron para decirle que le llevan la bolsa de comida  esta un poco refriada pero que esta atenta a cualquier otro sintoma ,NEC_OP
2438,2439,Animada quiere participar de la charla de Jorge con Dr.Gustavo Lopardo,POSITIVO,animada quiere participar de la charla de jorge con dr gustavo lopardo,R
11548,11549,"no responde
se recibe llamado de sra, se informa sobre cronograma de vacunacion, dni finalizado en 7, no esta segura de vacunarse,no lo hizo nunca.",NEUTRAL,no responde
se recibe llamado de sra se informa sobre cronograma de vacunacion dni finalizado en _digit_ no esta segura de vacunarse no lo hizo nunca ,NR
12230,12231,sigo en contacto. cansado del encierro pero se anima con la charla. lo llame un par de veces mas.,POSITIVO,sigo en contacto cansado del encierro pero se anima con la charla lo llame un par de veces mas ,R
2326,2327,bien de ánimo,POSITIVO,bien de animo,R
8795,8796,Me volvió a comentar que el tema de la caja de comida ahora tienen que ir a las 6 de la mañana xq entregan 200 números y que se les hace bastante difícil ya que solo entregan una caja x persona y no pueden retirarle a otra persona además del suyo propio. Así que tengo q solicitar la caja de alimentos para su madre que vive en la planta alta,NECESIDADES OPERATIVAS,me volvio a comentar que el tema de la caja de comida ahora tienen que ir a las _digit_ de la manana xq entregan _digit_ numeros y que se les hace bastante dificil ya que solo entregan una caja x persona y no pueden retirarle a otra persona ademas del suyo propio asi que tengo q solicitar la caja de alimentos para su madre que vive en la planta alta,NEC_OP
297,298,Hable con la señora que me contó que está tomando mates y mirando tv. Que no tiene compu ni célular en cuanto a la encuesta. No necesita nada momentáneamente,NEUTRAL,hable con la senora que me conto que esta tomando mates y mirando tv que no tiene compu ni celular en cuanto a la encuesta no necesita nada momentaneamente,NR
7490,7491,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva i en domicilio _digit_ _digit_ _digit_ ,NEC_OP
11191,11192,me he contactado con ella tanto el día 24 de abril como en el día de la fecha.  no requiere asistencia previa.  muy comunicativa.,POSITIVO,me he contactado con ella tanto el dia _digit_ de abril como en el dia de la fecha  no requiere asistencia previa  muy comunicativa ,R
12092,12093,"se la contactó telefónicamente. dijo estar bien, se la notó bien de ánimo.",POSITIVO,se la contacto telefonicamente dijo estar bien se la noto bien de animo ,R
11342,11343,"ninguna
esta con buen ánimo y en buen estado de salud",POSITIVO,ninguna
esta con buen animo y en buen estado de salud,R
11753,11754,"refiere su pareja, norta, que el fue a buscar alimentos en hipolito yrigoyen 4848 y no quisieron darle, que lo sacaron sumbando. la mujer, nora es quien habla siempre conmigo refiriendo cada vez que llamo, que el no esta y suele enojarse con ella si le cuenta de mi llamado.",NEGATIVO,refiere su pareja norta que el fue a buscar alimentos en hipolito yrigoyen _digit_ y no quisieron darle que lo sacaron sumbando la mujer nora es quien habla siempre conmigo refiriendo cada vez que llamo que el no esta y suele enojarse con ella si le cuenta de mi llamado ,R
1572,1573,se entrega  material cognitivo en domicilio 31/7/20.,NECESIDADES OPERATIVAS,se entrega material cognitivo en domicilio _digit_ _digit_ _digit_ ,NEC_OP
2974,2975,"esta mejor, sigue yendo a rayos. hablamos bastante, todo bien",POSITIVO,esta mejor sigue yendo a rayos hablamos bastante todo bien,R
2130,2131,bien de ánimo,POSITIVO,bien de animo,R
4137,4138,maria esther esta necesitando que por favor le lleven los alimentos su casa. su situacion economica se esta revirtiendo y realmente la necesita porque tiene nietos a su cargo y ella no puede ir a trabajar.,NECESIDADES OPERATIVAS,maria esther esta necesitando que por favor le lleven los alimentos su casa su situacion economica se esta revirtiendo y realmente la necesita porque tiene nietos a su cargo y ella no puede ir a trabajar ,NEC_OP
10606,10607,"intentè nuevamente, pero sigue dándome ocupado.",NO RELEVANTE,intente nuevamente pero sigue dandome ocupado ,NR
12252,12253,sigue sin funcionar el tel,NO RELEVANTE,sigue sin funcionar el tel,NR
4306,4307,"En la fecha me llamaron del área de discapacidad de la MVL, para informar que a 11 hs., llevaban al domicilio particular de esta AM, la caja con alimentos.",NECESIDADES OPERATIVAS,en la fecha me llamaron del area de discapacidad de la mvl para informar que a _digit_ hs  llevaban al domicilio particular de esta am la caja con alimentos ,NEC_OP
8289,8290,Esta sola y necesita ayuda,NECESIDADES OPERATIVAS,esta sola y necesita ayuda,NEC_OP
8653,8654,Siguen bien,POSITIVO,siguen bien,R
6596,6597,Se llamo a De Palma Noemí.  Para saber si le llegó la caja y saber cómo está ¡! Agradece la caja y los llamados .. quedé en llamar la semana q viene .,NEUTRAL,se llamo a de palma noemi  para saber si le llego la caja y saber como esta agradece la caja y los llamados  quede en llamar la semana q viene ,NR
7391,7392,"Esta bastante bien de animo, tratando de pasar lo mejor posible con su hija especial.",POSITIVO,esta bastante bien de animo tratando de pasar lo mejor posible con su hija especial ,R
2487,2488,"Hoy le ofreci participar de un grupo de whatsapp semanal para compartir con otros AM, pero me dijo que ella y su esposo tienen muchas actividades.  Tambien estan entretenidos porque se les rompio un alero (techo) y tuvo que contratar alguien para arreglarlo.  Dijo que mira las series de Netflix y que estan muy bien.",POSITIVO,hoy le ofreci participar de un grupo de whatsapp semanal para compartir con otros am pero me dijo que ella y su esposo tienen muchas actividades  tambien estan entretenidos porque se les rompio un alero techo y tuvo que contratar alguien para arreglarlo  dijo que mira las series de netflix y que estan muy bien ,R
8368,8369,Sin novedad,NO RELEVANTE,sin novedad,NR
2036,2037,Sin novedad,NO RELEVANTE,sin novedad,NR
2932,2933,La AM se encuentra acompañada asistida por hija .le fue entregada la caja alimentaria en su domicilio por la voluntaria.,NECESIDADES OPERATIVAS,la am se encuentra acompanada asistida por hija le fue entregada la caja alimentaria en su domicilio por la voluntaria ,NEC_OP
9809,9810,"desde la ultima actuación lo he llamado cada 3 días y hubo veces que me atenido y otras que no.

esta bien, con su hijo. igualmente esta preocupado por la situación y la sensación de incertidumbre. su pasatiempo es regar las plantas, hablar por telefono y hacer cosas de la casa",NEGATIVO,desde la ultima actuacion lo he llamado cada _digit_ dias y hubo veces que me atenido y otras que no 

esta bien con su hijo igualmente esta preocupado por la situacion y la sensacion de incertidumbre su pasatiempo es regar las plantas hablar por telefono y hacer cosas de la casa,R
1589,1590,SE ENTREGO MATERIAL COGNITIVO 2 EN DOMICILIO 21/08/2020,NECESIDADES OPERATIVAS,se entrego material cognitivo _digit_ en domicilio _digit_ _digit_ _digit_,NEC_OP
10167,10168,esta con los primos va a pedir permiso para dar la dirección porque necesita ponerse vacuna y hacer mandados.,POSITIVO,esta con los primos va a pedir permiso para dar la direccion porque necesita ponerse vacuna y hacer mandados ,R
4394,4395,HOY HABLAMOS CON RE...ELLA ESTA BIEN. SIGUE PREGUNTANDO POR LA TABLET. DIJO QUE LLAMO ANSES Y LE DIJERON QUE ES EL MUNICIPIO QUIEN SE ENCARGA,POSITIVO,hoy hablamos con re  ella esta bien sigue preguntando por la tablet dijo que llamo anses y le dijeron que es el municipio quien se encarga,R
6915,6916,DE ENTREGO ALIMENTOS EN DOMICILIO EL DIA 14/08/2020,NECESIDADES OPERATIVAS,de entrego alimentos en domicilio el dia _digit_ _digit_ _digit_,NEC_OP
4414,4415,"El señor se encuentra bien,sin problemas.",POSITIVO,el senor se encuentra bien sin problemas ,R
10728,10729,"la señora se encuentra contenida x su hija, es muy activa y me dijo que no necesita la asistencia del personal voluntario.",POSITIVO,la senora se encuentra contenida x su hija es muy activa y me dijo que no necesita la asistencia del personal voluntario ,R
2430,2431,Sin novedad,NO RELEVANTE,sin novedad,NR
12184,12185,"se siente bien, esta molesta con la gente que sale a la calle sin motivos, agradece el llamado y me pide a mi que me cuide!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIVO,se siente bien esta molesta con la gente que sale a la calle sin motivos agradece el llamado y me pide a mi que me cuide,R
113,114,Habrá algún otro dato para poder contactar a este adulto mayor?  el único telefóno que aparece es inválido.,NO RELEVANTE,habra algun otro dato para poder contactar a este adulto mayor el unico telefono que aparece es invalido ,NR
5665,5666,Me comuniqué en el día de hoy. La hija me dijo que la señora estaba internada porque se rompió la cadera. Le deje mi número de teléfono y quedó en avisarme cuando le den el alta.,NEGATIVO,me comunique en el dia de hoy la hija me dijo que la senora estaba internada porque se rompio la cadera le deje mi numero de telefono y quedo en avisarme cuando le den el alta ,R
5890,5891,SE HABLO LE LLEVARON LA CAJA VIERNES  3/7/2020 A SU DLIO,NECESIDADES OPERATIVAS,se hablo le llevaron la caja viernes _digit_ _digit_ _digit_ a su dlio,NEC_OP
