id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
1715,En el día de hoy me comuniqué con la señora nuevamente para hacerle un seguimiento sobre su estado de salud y emocional. En ambos se encuentra bien. Me comentó que pudo conseguir la pastilla para tratar su cuadro de hipertensión por la UAP de munro. me comentó que tiene una amiga que tiene necesidades alimentarias y de salud le pedi los datos para consultar a organización de voluntarios AM.,comunique senora nuevamente hacerle seguimiento salud emocional pastilla tratar cuadro hipertension uap munro amiga necesidades alimentarias salud pedi datos consultar organizacion voluntarios am,NECESIDADES OPERATIVAS,NR
1716,"KIEFEL RITA
31.8.2020 11:20
No atiende, llamare mas tarde",kiefel rita _digit_ _digit_ _digit_ _digit_ _digit_ atiende llamare,NO RELEVANTE,NR
1717,Sin novedad,novedad,NO RELEVANTE,NR
1718,"El cardiolo fue por el problema en las piernas, pero ella necesita un flebologo. Se hizo analisis en la casa ACRA, niabstemia grave, dentro de tres cuatro dias se lo dan...la llamo la semana q viene. 
EL Hijo de 60 años, tuvo cancer esta sin trabajo Eugenio Saldivar
Hace 70 años que vive en la zona, piden si pueden ayudar a su hijo que tiente 3 hijos",cardiolo problema piernas necesita flebologo analisis casa acra niabstemia grave llamo semana viene hijo _digit_ anos cancer trabajo eugenio saldivar _digit_ anos vive zona piden ayudar hijo tiente _digit_ hijos,NECESIDADES OPERATIVAS,NR
1719,Hablamos con Noemí por el tema de su amiga que estaba sola y que me agradecía por haberla anotado para la caja de alimentos . Yo le confirmé que ya estaba anotada también para que la asista algún voluntario.,hablamos tema amiga agradecia haberla anotado caja alimentos confirme anotada asista voluntario,NECESIDADES OPERATIVAS,NR
1720,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
1721,Atiende el contestador en varias veces que llame en ambos telefonos,atiende contestador llame telefonos,NO RELEVANTE,NR
1722,se encuentran bien,encuentran,POSITIVO,R
1723,21/7/2020 Llamado,_digit_ _digit_ _digit_ llamado,NO RELEVANTE,NR
1724,La Señora Ana Slaukin y su marido Guido se encuentran bien.,senora ana slaukin marido guido encuentran,POSITIVO,R
1725,"se encuentra bien. me conto que ya tiene los anteojos nuevos, esta muy contenta, pero todavia no consiguio turno c la dentista.",conto anteojos contenta consiguio turno dentista,POSITIVO,R
1726,Sin novedad,novedad,NO RELEVANTE,NR
1727,Se acuerda segunda llamada de cortesía.,acuerda llamada cortesia,NO RELEVANTE,NR
1728,"Hablé con Myrna y acordamos que necesita atención psicológica ya que no está pasando un buen momento, siente mucho miedo y no pude dormir bien por las noches por las pesadillas constantes.",hable acordamos necesita atencion psicologica pasando siente miedo pude dormir noches pesadillas constantes,NEGATIVO,R
1729,"Converse con Lucia un rato largo.  Esta bien de animo junto a su esposo. Le recomende no salir en lo posible y le recorde que por consultas sobre algun arreglo, compra o algo que no pueda hacer se comunique por este medio.  Ella me suele enviar mensajes por whatsapp y yo le respondo con lo que uds me van aconsejando. Todo ok con Lucia.",converse rato animo esposo recomende salir posible recorde consultas arreglo compra comunique suele enviar mensajes whatsapp respondo aconsejando ok,POSITIVO,R
1730,Modesta se encuentra bien se escucha perfecto  esperando q termine  la cuarentena para poder salir,escucha esperando termine cuarentena salir,POSITIVO,R
1731,Sin novedad,novedad,NO RELEVANTE,NR
1732,La Señora Beatríz Dib se encuentra bien.,senora dib,POSITIVO,R
1733,"estaba muy bien contesto la encuesta,no necesita nada , pero agradece la gentileza del municipio por los llamados",contesto encuesta necesita agradece gentileza municipio llamados,POSITIVO,R
1734,"MIRTA BIEN, SU ESPOSO SE FUE A REALIZAR ESTUDIOS SE SIENTE UN POCO AGITADO EL MEDICO LE DIO PARA HACER  VARIOS ESTUDIOS",esposo estudios siente agitado medico estudios,NEGATIVO,R
1735,"El AM se encuentra en compañía de familia hace actividades en su hogar . esta utilizando  la computadora para estar informado .aha solicitado la caja de alimentos, se le entregará en su domicilio .",am compania familia actividades hogar utilizando computadora informado aha solicitado caja alimentos entregara domicilio,NECESIDADES OPERATIVAS,NR
1736,No corresponde a un abonado en servicio,corresponde abonado servicio,NO RELEVANTE,NR
1737,"
SE ENTREGO TUTORIALES  1  EN DOMICILIO EL 28/08/2020",entrego tutoriales _digit_ domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1738,"13.50hs:.a mi llamado la sra.Susana respondio con alegría y mucha amabilidad,hablamos un poco de todo y me comento que salen a caminar solo por las cercanías  de.su depto.con su esposo y nada más,que estan muy bien y no necesitan nada.Me agradecio por preocuparme por ellos y quedamos en hablar semana próxima.",_digit_ _digit_hs llamado susana respondio amabilidad hablamos salen caminar cercanias depto esposo necesitan agradecio preocuparme quedamos hablar semana proxima,POSITIVO,R
1739,Atención Psicológica,atencion psicologica,NECESIDADES OPERATIVAS,NR
1740,Hoy lo llame por telefono para conversar con el pero no lo encontre.  Le deje msg x whatsapp. Estamos siempre en contacto x este medio.  El  me envia propagandas de actividades culturales de la municipalidad.  Se ve que tiene contactos y siempre se lo ve alegre y bien dispuesto.,llame telefono conversar encontre deje msg whatsapp contacto envia propagandas actividades culturales municipalidad ve contactos ve alegre dispuesto,POSITIVO,R
1741,"Llamo a AM, me atiende una señora que no se identifica y me indica que AM no se encuentra, que ella en el día de hoy no la va a ver me comenta. Luego va a consultarle si requiere algo de asistencia, y pactamos un llamado para mañana en este horario para verificar si AM requiere algún tipo de asistencias. Agradece y finaliza la llamada.",llamo am atiende senora identifica indica am comenta consultarle requiere asistencia pactamos llamado manana horario verificar am requiere tipo asistencias agradece finaliza llamada,NO RELEVANTE,NR
1742,me pidieron que lo llamara para informarle que hoy le entregaban la bolsa a partir de las 14 hs. Ya le avise. No le interesa ajedres.  Me dice que se entretiene con el cable.,pidieron llamara informarle entregaban bolsa _digit_ hs avise interesa ajedres entretiene cable,NECESIDADES OPERATIVAS,NR
1743,05/06/2020 SE ENREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ enrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
1744,Entregué caja de alimentos.,entregue caja alimentos,NECESIDADES OPERATIVAS,NR
1745,"7/7/20 la Sra. Chiossoni no tiene interes en que  la ayuden, cuenta con su familia",_digit_ _digit_ _digit_ chiossoni interes ayuden familia,NO RELEVANTE,NR
1746,Sin novedad,novedad,NO RELEVANTE,NR
1747,Sin novedad,novedad,NO RELEVANTE,NR
1748,"Hablé con María, se encuentra bien. Tuvo algunos días con un poco de dolor pero está mejor.
Entusiasmada con los talleres. Muy contenta con la atención que recibe en el Hospital. 
Le gustaría aprender ajedrez, pero no sabe nada, le voy a averiguar por nivel inicial.",hable dolor entusiasmada talleres contenta atencion recibe hospital gustaria aprender ajedrez averiguar nivel inicial,POSITIVO,R
1749,"Me he comunicado nuevamente con Ramón, tuvimos una charla muy linda como siempre, distendida. Me comunicaré nuevamente la semana próxima.",comunicado nuevamente charla linda distendida comunicare nuevamente semana proxima,POSITIVO,R
1750,realizamos la videollamada con jorge macri. quedamos super felices las dos,realizamos videollamada jorge macri quedamos super felices,POSITIVO,R
1751,Sin novedad,novedad,NO RELEVANTE,NR
1752,"se encuentran bien de animo solo cunsulta por la eximision de arba quenescucho que el intendente dijo nque los jubilados  estarian exento de pagarlo , le dije que se lom iba a averiguar y comunicarle loque me dijeran",encuentran animo cunsulta eximision arba quenescucho intendente nque jubilados exento pagarlo dije lom iba averiguar comunicarle loque dijeran,POSITIVO,R
1753,"Se solicitó la entrega de alimentos a través del 147.
Elsa aún no tiene los medicamentos porque no tiene plata para comprarlos, por lo que discontinuó su tratamiento psiquiátrico.
Está bastante desganada.",solicito entrega alimentos _digit_ medicamentos plata comprarlos discontinuo tratamiento psiquiatrico desganada,NEGATIVO,R
1754,ENCUESTA,encuesta,NO RELEVANTE,NR
1755,Se entrega Alimentos en domicilio 21/8/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1756,"El Sisitema no me deja corregir la dirección que le pusieron por la que reside actualmente el Sr. Crispin.
Por lo que ""aclaro por este medio"" que vive actualmente en: calle Franklin 596 (entre Agustin Alvarez y Lavalle)",sisitema deja corregir direccion pusieron reside sr aclaro vive calle franklin _digit_ alvarez,NO RELEVANTE,NR
1757,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1758,Me dijo que quiere que la siga llamando,siga llamando,NEUTRAL,NR
1759,Me comuniqué con la Sra. Luisa Evelia Verón nuevamente me dijo que estaba bien de salud y no tenía ninguna necesidad al momento,comunique luisa veron nuevamente salud necesidad,POSITIVO,R
1760,Se entrega Alimentos en domicilio 14/8/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1761,"Esta bien, le informe de la eximición no la tiene va a llamar.",informe eximicion llamar,POSITIVO,R
1762,"He llamado varias veces estos dias y el AM no me atiende, mande un mail solicitando información sobre  que acción realizar o a donde debo comunicarme.",llamado am atiende mande mail solicitando informacion accion debo comunicarme,NO RELEVANTE,NR
1763,Charla de compañia,charla compania,NO RELEVANTE,NR
1764,"se encuentra bien en la casa cuidándose ahora mas que nunca que se vino el frió y eso trae gripes y otras cosas que hoy en día no esta para ir a un hospital o clínica, aprovechando los días feos para descansar y estar un rato mas en la cama jajaja, hablamos un rato y después la deje que arranque el dia ya que casi que la había despertado yo con el llamado nos deseamos feliz 25 de mayo y me agradeció mucho que siempre me acuerde de ella y me tome el tiempo de llamarla para saber como esta que es un mimo hermoso en estos momentos",casa cuidandose vino frio trae gripes hospital clinica aprovechando feos descansar rato cama jajaja hablamos rato deje arranque despertado llamado deseamos feliz _digit_ mayo agradecio acuerde llamarla mimo hermoso momentos,POSITIVO,R
1765,Hace unos días que está en cama con dolor de garganta y fiebre.  Tiene miedo de llamar por sospecha de virus. Hoy no tiene fiebre pero el dolor de garganta no cede. La convencí y está llamando al 107 veremos que le dicen,cama dolor garganta fiebre miedo llamar sospecha virus fiebre dolor garganta cede convenci llamando _digit_ veremos,NEGATIVO,R
1766,Llamado para ver como estaba,llamado,NO RELEVANTE,NR
1767,HABLE CON PALMA LA SEÑORA DE RODOLFO Y  ME COMENTO QUE EL HIJO QUE VIVE EN LA PARTE  ALTA DE LA CASA  LLAMO EL DOMINDO PASADO  A EL 107  PORQUE  TIENE COVID-19  Y NUNCA FUERON DE EL 107 TERMINO LLAMANDO A SU PREPAGA AL CEMIC ESTA CONTROLADO Y MONITORIADO POR EL CEMIC EL Y SU MUJER,hable palma senora rodolfo hijo vive alta casa llamo domindo _digit_ covid-_digit_ _digit_ termino llamando prepaga cemic controlado monitoriado cemic mujer,NEGATIVO,R
1768,en el día de la fecha me comunico con norma y paso renovarle su caja de alimentos nuevamente para que se la envíen nuevamente,fecha comunico paso renovarle caja alimentos nuevamente envien nuevamente,NECESIDADES OPERATIVAS,NR
1769,se hablo con  esta todo bien tranquila,hablo tranquila,POSITIVO,R
1770,LA LLAME Y LE DEJE EN EL CONESTADOR,llame deje conestador,NO RELEVANTE,NR
1771,"está bien, aunque un poco triste y bajoneada
HICE LA ENCUESTA",triste bajoneada hice encuesta,NEGATIVO,R
1772,Siguen bien,siguen,POSITIVO,R
1773,"Hablé con Leticia, se encuentra bien. Estuvimos hablando largo rato.",hable hablando rato,POSITIVO,R
1774,"Llamo. Las 17 hs. Se encuentra muy bien..la atienden el hijo q vive a una cuadra y su nieto q vive adelante. Hablamos un poco de amigas y de la situación de la pandemia.Me agradecio el llamado y que no requiere nada, muy amable y quedó en volver a llamarla para volver a hablar.",llamo _digit_ hs atienden hijo vive cuadra nieto vive hablamos amigas situacion pandemia agradecio llamado requiere volver llamarla volver hablar,POSITIVO,R
1775,estan muy bien,,POSITIVO,R
1776,se encuentra bien. Eligio cursos de idiomas para hacer y le voy a mandar los ejercicios cognitivos.,cursos idiomas mandar ejercicios cognitivos,POSITIVO,R
1777,"La volveré a llamar mas tarde, da el buzón de claro.",volvere llamar buzon,NO RELEVANTE,NR
1778,Siguen bien,siguen,POSITIVO,R
1779,esta todo bien y no necesita nada quedamos en hablar en 15 dias.,necesita quedamos hablar _digit_,POSITIVO,R
1780,Hablamos x whatsapp animada,hablamos whatsapp animada,POSITIVO,R
1781,Se encuentra bien,,POSITIVO,R
1782,No atendió,atendio,NO RELEVANTE,NR
1783,no contestan,contestan,NO RELEVANTE,NR
1784,"Se encuentra bien, escucha música y habla mucho por teléfono",escucha musica telefono,POSITIVO,R
1785,"hoy vi a zulema, ella esta bien ...sobrellevando todo. con buen animo",vi zulema sobrellevando animo,POSITIVO,R
1786,"03/06 - Llamo a AM a sus números de contacto, pero sin respuesta alguna procedo a marcar en el caso ""se mudo""",_digit_ _digit_ - llamo am numeros contacto respuesta procedo marcar caso mudo,NO RELEVANTE,NR
1787,"Así empezó el llamado""Estamos bien todos, consiguió la medicina para su hijo.no tenia muchas ganas de hablar. la escuche  bien . quiere que la llame la semana que viene",empezo llamadoestamos consiguio medicina hijo ganas hablar escuche llame semana viene,NEGATIVO,R
1788,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
1789,"1/7/2020 Llamé 2 veces, no contesta",_digit_ _digit_ _digit_ llame _digit_ contesta,NO RELEVANTE,NR
1790,llamado,llamado,NO RELEVANTE,NR
1791,Atiende contestador en diferentes horarios. Se reitera llamado en otra oportunidad,atiende contestador horarios reitera llamado oportunidad,NO RELEVANTE,NR
1792,No contesto el llamado.,contesto llamado,NO RELEVANTE,NR
1793,"está muy bien, ella y su marido",marido,POSITIVO,R
1794,Estimada: hemos elevado la solicitud a la Dir. de Atención Primaria de Salud para que puedan dar respuesta. Saludos!,estimada elevado solicitud atencion primaria salud puedan respuesta saludos,NECESIDADES OPERATIVAS,NR
1795,Se encuentra muy bien,,POSITIVO,R
1796,SE ENTREGO ALIMENTOS EN DOMICILIO,entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
1797,Se entrega Alimentos en domicilio 21/8/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1798,No atiende.-,atiende -,NO RELEVANTE,NR
1799,"Está de muy buen ánimo. Se siente mejor de la parte digestiva y dijo que hablar con la psicóloga Fernanda, del programa de la municipalidad, le hizo muy bien.",animo siente digestiva hablar psicologa fernanda programa municipalidad,POSITIVO,R
1800,"Repasadas las actividades ofrecidas por el municipio. Está con contracturas y dolores de espalda que la limitan. No está inspirada para escribir, la limpieza de la casa le lleva mucho tirmpo y no se engancha con la tele. Sin presiones, aumentar tiempo de meditación, buscar otras actividades (pintura, jardinería) hasta que sienta ganas de escribir, tomar con calma la casa y no exigirse. Intercambiamos fotos de plantas fáciles con flores todo el año, y hablamos sobre libros que vale la pena leer.",repasadas actividades ofrecidas municipio contracturas dolores espalda limitan inspirada escribir limpieza casa tirmpo engancha tele presiones aumentar meditacion buscar actividades pintura jardineria sienta ganas escribir tomar calma casa exigirse intercambiamos fotos plantas faciles flores ano hablamos libros vale pena leer,NEGATIVO,R
1801,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 31/07/2020,entrego material cognitivo domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1802,NO nos comunicamos dejamos mensaje en el contestador del celular.,comunicamos dejamos mensaje contestador celular,NO RELEVANTE,NR
1803,"Llamé para ver cómo sigue el Sr , pero estamos en contacto, le mando información que me llega por mensajes también, el sigue necesitando alimentos y tiene problemas para conseguir una medicación, sabe cuándo retirar y en donde alimentos,lo de la medicación mandé un mail pero todavía no tengo respuesta , mañana llamaré.",llame sr contacto mando informacion llega mensajes necesitando alimentos problemas medicacion retirar alimentos medicacion mande mail respuesta manana llamare,NECESIDADES OPERATIVAS,NR
1804,"El señor se encuentra bien,no le interesa participar de charlas o curso no dispone de mucho tiempo, por su actividad laboral .",senor interesa participar charlas curso dispone actividad laboral,POSITIVO,R
1805,El AM DIB Beatriz DNI  5321014  se encuentra muy bien.,am dib dni _digit_,POSITIVO,R
1806,Está con dolor de nervio ciático.,dolor nervio ciatico,NEGATIVO,R
1807,Francisca Jacques Jovina no acepto el acompañamiento telefónico porque está asistida por sus hijos y nietos,jovina acepto acompanamiento telefonico asistida hijos nietos,NO RELEVANTE,NR
1808,"Si bien en la ultima entrega que fue aproximadamente el 25/5 le entregaron la caja y le dijeron que recibiria las proximas de forma automatica con una periodicidad de dos veces por mes, nunca volvio a recibir ninguna caja. Pide por favor que se le haga entrega nuevamente ya que la necesita. y que se le indique si el proceso sera automatico o lo debe pedir cada 15 dias",entrega _digit_ _digit_ entregaron caja recibiria proximas forma automatica periodicidad mes volvio recibir caja pide favor haga entrega nuevamente necesita indique automatico pedir _digit_,NECESIDADES OPERATIVAS,NR
1809,Volvía de darse  la vacuna anti-alérgica que se la da semanalmente. Se la escuchaba bien.,volvia darse vacuna anti-alergica semanalmente escuchaba,POSITIVO,R
1810,Entregué caja de alimentos,entregue caja alimentos,NECESIDADES OPERATIVAS,NR
1811,No contesto el llamado.,contesto llamado,NO RELEVANTE,NR
1812,No responde telefono.,responde telefono,NO RELEVANTE,NR
1813,Se llamó a las 13:00hs y Norma pidió  ayuda con medicamentos,llamo _digit_ _digit_hs pidio ayuda medicamentos,NECESIDADES OPERATIVAS,NR
1814,Es difícil poder contactar.,dificil contactar,NO RELEVANTE,NR
1815,"EVENTO A DESTIEMPO -27/05/20- RODA, MARIA MARGARITA

2do intento llamando a AM al 47603806. Me contesta una persona que no se identifica, cuando consulto por AM me indica que no vive nadie en el domicilio con ése nombre. Enviaré mail para consultar por número alternativo.",evento destiempo -_digit_ _digit_ _digit_- roda margarita _digit_do llamando am _digit_ contesta persona identifica consulto am indica vive domicilio nombre enviare mail consultar numero alternativo,NO RELEVANTE,NR
1816,"21/05/20 - Llamo a AM como pactamos ayer al 4790-6547, suena pero N/A",_digit_ _digit_ _digit_ - llamo am pactamos _digit_-_digit_ suena,NO RELEVANTE,NR
1817,"pese a los insistentes llamados, no contesta el celular.",pese insistentes llamados contesta celular,NO RELEVANTE,NR
1818,La Señora Nélida Malatesta se encuentra bien sin dolor de columna .,senora malatesta dolor columna,POSITIVO,R
1819,Se entrego alimentos en domicilio el 08/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1820,"Leon y Nidia se encuentran bien de ánimo y se encuentran ocupados. En el caso de Leon atiende el taller y Nidia se dedica a la cocina y el tejido.
Por el momento no me solicitaron ningún pedido.",encuentran animo encuentran ocupados caso atiende taller dedica cocina tejido solicitaron pedido,POSITIVO,R
1821,en el dia de la fecha me comunico con isabel para informarle que su caja de alimentos fue solicitada,fecha comunico isabel informarle caja alimentos solicitada,NECESIDADES OPERATIVAS,NR
1822,"Me atendió muy cordialmente Marta, contandome que vive con la hija y el yerno, y ademas en la casa de adelante viven los consuegros. Por otro lado, en sus tiempos libres cocina para la panaderia que tiene la hija y cuida a los nietos. Extraña mucho el trabajo, ella cuidaba a abuelos y la mayor parte de su tiempo la pasaba ahi, de lunes a viernes.  Me recalcó muchas veces la necesidad que tiene de volver a trabajar, de tener una rutina, de estar ocupada. Se mudo con la hija ya que no podia pagar el alquiler. Ademas de cocinar, le gusta escribir. En cuanto a las compras y necesidades, la hija se encarga de todo. Se la notó muy indignada con la extensión de la cuarentena y con el recorte de derechos tal como salir a caminar o subirse a un colectivo. Mas alla de eso, siempre se manifestó de buen humor y hasta incluso riendose mucho.",atendio cordialmente contandome vive hija yerno casa viven consuegros tiempos libres cocina panaderia hija cuida nietos extrana trabajo cuidaba abuelos pasaba lunes viernes recalco necesidad volver trabajar rutina ocupada mudo hija podia pagar alquiler cocinar gusta escribir compras necesidades hija encarga noto indignada extension cuarentena recorte derechos salir caminar subirse colectivo alla humor riendose,NEGATIVO,R
1823,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
1824,está bien,,POSITIVO,R
1825,no contesta,contesta,NO RELEVANTE,NR
1826,Los productos de limpieza no se los entregaron todavía y ya hace más de 20 días que los pedimos.,productos limpieza entregaron _digit_ pedimos,NECESIDADES OPERATIVAS,NR
1827,"Hablé con Maria, todo ok",hable ok,POSITIVO,R
1828,No pude comunicarme,pude comunicarme,NO RELEVANTE,NR
1829,Adulto mayor con necesidad de caja de alumentos,adulto necesidad caja alumentos,NECESIDADES OPERATIVAS,NR
1830,"Hable con Patricia, estaba de buen animo. Hoy fue a realizar un mandado a la carnicería y hacia inca-pie en los cuidados de barbijo y distanciamiento. También me contó que habla seguido con su hermana y eso la entretiene. Mira películas . Quedamos en hablar en unos dias.",hable animo mandado carniceria inca-pie cuidados barbijo distanciamiento conto seguido hermana entretiene mira peliculas quedamos hablar,POSITIVO,R
1831,"Conversamos su estado de animo que últimamente presenta momentos de preocupacion y angustia a raíz del encierro y la soledad. Logra atenuar esto conversando con alguna amiga, o  a través de la religión o la charla que mantenemos. A veces le sirve para ver las cosas desde otro lugar.",conversamos animo ultimamente presenta momentos preocupacion angustia raiz encierro soledad logra atenuar conversando amiga religion charla mantenemos sirve,NEGATIVO,R
1832,"Realice el llamado a Antonio, me atendió pero me dijo que en ese momento no podía hablar y me pidió si lo puedo llamar el lunes. Quedamos así, el lunes lo llamo.",realice llamado antonio atendio podia hablar pidio llamar lunes quedamos lunes llamo,NO RELEVANTE,NR
1833,"Estaba contento porque le llego la caja de alimento. Pide que por favor no demoren en entregarla ya que a veces no tiene nada. Le facilite mi telefono por si precisa algo,",contento caja alimento pide favor demoren entregarla facilite telefono precisa,NECESIDADES OPERATIVAS,NR
1834,Entregué caja de alimentos en domicilio el día de hoy,entregue caja alimentos domicilio,NECESIDADES OPERATIVAS,NR
1835,La Señora Beatriz Dib se encuentra bien.,senora dib,POSITIVO,R
1836,No figuran números de contacto de AM y ya envié e-mail para indicar dicha información.,figuran numeros contacto am envie e-mail indicar dicha informacion,NO RELEVANTE,NR
1837,Se entrega Alimentos en domicilio 14/8/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1838,"Pide caja de alimentos, la familia no tiene como movilizarse.",pide caja alimentos familia movilizarse,NECESIDADES OPERATIVAS,NR
1839,"Esta muy bien, se cuida del frío, tuvimos una muy larga y agradable charla, me contó que en otra época tuvo restaurant, me hablo de como cocinaba y mucho mas, me dice que cuándo pase esta cuarentena me quiere conocer!!!!!!!!!!",cuida frio larga agradable charla conto epoca restaurant hablo cocinaba pase cuarentena,POSITIVO,R
1840,"HABLE CON  KARINA  LE CONTE QUE MANDE LOS ESTUDIOS AL VOLUNTARIADO Y QUE ESPERO RESPUESA ,SU MAMA JULIA   ESTUVO INTERNADA EL DOMINGO PASADO EN EL HOSPITAL POR DOLOR EN EL PECHO ( JULIA ESTA OPERADA DEL CORAZON)  Y EN ESE MOMENTO LOS ESTUDIOS QUE LE HICIERON ESTABAN BIEN",hable conte mande estudios voluntariado espero respuesa mama julia internada domingo hospital dolor pecho julia operada estudios,NECESIDADES OPERATIVAS,NR
1841,"La hermana, Ernestina y se encuentra en silla de ruedas, no recibió la plata del Bolson de PAMI, Su teléfono es 4709-2068. Además se realizó el llamado de despedida.",hermana ernestina silla ruedas recibio plata bolson pami telefono _digit_-_digit_ llamado despedida,NEGATIVO,R
1842,"caja de alimentos, que la voy a ir a buscar yo y se la voy a entregar.",caja alimentos buscar entregar,NECESIDADES OPERATIVAS,NR
1843,Se dejo mensaje,mensaje,NO RELEVANTE,NR
1844,Ninguna,,NO RELEVANTE,NR
1845,"Estimada: desde el Programa no manejamos la entrega de tablets. Recibimos su solicitud y la enviamos; en cuanto tengamos alguna respuesta al respecto, nos estaremos comunicando. Saludos!",estimada programa manejamos entrega tablets recibimos solicitud enviamos; respuesta comunicando saludos,NECESIDADES OPERATIVAS,NR
1846,No quiere que lo llamen,llamen,NO RELEVANTE,NR
1847,bien de ánimo.,animo,POSITIVO,R
1848,"El día viernes se comunicaron conmigo para que le comunique a la señora Graciela que durante esa mañana iba a pasar el voluntario presencial de la Municipalidad para entregarle la caja de alimentos, lo recibió sin problemas y agradece muchísimo. Ahora lo que me pidió si podia averiguar como podia hacer para conseguir una garrafa vacía, que  si se les podia prestar/donar  una, porque es lo único que tiene para poder calefaccionar la vivienda. Muchas Gracias",viernes comunicaron comunique senora manana iba pasar voluntario presencial municipalidad entregarle caja alimentos recibio problemas agradece muchisimo pidio podia averiguar podia garrafa vacia podia prestar donar unico calefaccionar vivienda,NECESIDADES OPERATIVAS,NR
1849,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020,entrego material cognitivo domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1850,"virginia esta bien pero necesita que la escuchen , hablar con alguien en la semana volvere a lllamarla",virginia necesita escuchen hablar alguien semana volvere lllamarla,NEGATIVO,R
1851,muy bien y acompañada,acompanada,POSITIVO,R
1852,"Llamo a AM a 1566784003, pero la llamada va al buzón de voz. Llamo a AM a  1563674021, me atiende la hija quien a quien le comento acerca del proyecto de Asistencias. Me comenta que a AM la están ayudando unos vecinos de Vicente Lopez y de todas formas ella mantiene contacto con su madre. Informa que se dio las vacunas correspondientes, agradece por el llamado y finaliza la llamada.",llamo am _digit_ llamada buzon voz llamo am _digit_ atiende hija acerca proyecto asistencias comenta am ayudando vecinos vicente lopez formas mantiene contacto madre informa vacunas correspondientes agradece llamado finaliza llamada,NO RELEVANTE,NR
1853,"Hemos recibido la solicitud del envío de alimentos a domicilio. A la brevedad, se estarán comunicando para coordinar la entrega. Saludos!",recibido solicitud envio alimentos domicilio brevedad comunicando coordinar entrega saludos,NECESIDADES OPERATIVAS,NR
1854,lo asiste la hermana. No necesita nada. Agradece el llamado. No le interesan actividades. No maneja ninguna plataforma.,asiste hermana necesita agradece llamado interesan actividades maneja plataforma,NO RELEVANTE,NR
1855,Tienen buen día el y la señora están felices y calentitos me.dijo,senora felices calentitos,POSITIVO,R
1856,"Llamo a Lila pero tanto al celular como al teléfono de linea, no responde.",llamo celular telefono linea responde,NO RELEVANTE,NR
1857,"Le suspendieron los rayos y la quimio xq está anémica, le bajaron las defensas.
Hoy empezó las clases de italiano. También hablo con la profe de inglés, y el profe de teatro y cuenta cuentos.
El lunes se hace examen de sangre y el miércoles va a la oncologa. 
Tiene un hermano Jorge Rubén de 73 años que vive en Palermo, el hijo es quien la acompaña a los médicos.",suspendieron rayos quimio xq anemica bajaron defensas empezo clases italiano hablo profe ingles profe teatro cuentos lunes examen sangre miercoles oncologa hermano jorge _digit_ anos vive palermo hijo acompana medicos,NEGATIVO,R
1858,SE ENTREGO ALIMENTOS EN DOMICILIO EL 31/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1859,"Está bien, tal vez necesite un medicamento. Me va a avisar en estos días.",necesite medicamento avisar,NECESIDADES OPERATIVAS,NR
1860,Ninguna,,NO RELEVANTE,NR
1861,tuvo un acv estvo internada en hospital de vicente lopez,acv estvo internada hospital vicente lopez,NEGATIVO,R
1862,La caracteristica esta congestionada,caracteristica congestionada,NO RELEVANTE,NR
1863,"MIRTA Y SU ESPOSO BIEN, HOY LIMPIANDO LA CASA DE SU HIJO QUE HOY COMENZO A TRABAJAR EN COMERCIO EN CAPITAL ESTABA MUY ENTRETENIDA",esposo limpiando casa hijo comenzo trabajar comercio capital entretenida,POSITIVO,R
1864,llamado realizado deje mensaje me comunicare de vuelta.,llamado deje mensaje comunicare vuelta,NO RELEVANTE,NR
1865,no pude comunicarme sigo intentando,pude comunicarme sigo intentando,NO RELEVANTE,NR
1866,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
