id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
2979,"Se gestionó entrega de cada de alimentos con municipalidad vía email, me fue notificado que la misma se realiará el día de hoy a partir de las 11am.",NECESIDADES OPERATIVAS,se gestiono entrega de cada de alimentos con municipalidad via email me fue notificado que la misma se realiara el dia de hoy a partir de las _digit_am ,NEC_OP
2980,Sin novedad,NO RELEVANTE,sin novedad,NR
2981,"No le interesa. La noté un poco asustada.
""No. Deciles a los de la Municipalidad que yo estoy bien"".",NO RELEVANTE,no le interesa la note un poco asustada no deciles a los de la municipalidad que yo estoy bien ,NR
2982,llamado,NO RELEVANTE,llamado,NR
2983,Llamado y charla por los.productos de limpieza.,NECESIDADES OPERATIVAS,llamado y charla por los productos de limpieza ,NEC_OP
2984,No corespdone a un abonado en servicio,NO RELEVANTE,no corespdone a un abonado en servicio,NR
2985,Hable por whatsapp con Mary la esposa y están muy bien,POSITIVO,hable por whatsapp con mary la esposa y estan muy bien,R
2986,"7 de junio.Dice que le preocupan los planes que dan.Algunos no lo necesitan.Quiere ver a su familia que vive en Rosario.Sale a caminar un poco por el barrio.
Me dice que no pasa el barrendero Se puede hacer algo?",NEGATIVO,_digit_ de junio dice que le preocupan los planes que dan algunos no lo necesitan quiere ver a su familia que vive en rosario sale a caminar un poco por el barrio me dice que no pasa el barrendero se puede hacer algo,R
2987,Informo que llamo a 138 de pami y le informaron que tiene que respetar el año calendario de la vacunación.,NECESIDADES OPERATIVAS,informo que llamo a _digit_ de pami y le informaron que tiene que respetar el ano calendario de la vacunacion ,NEC_OP
2988,"Se encuentra muy bien de ánimo, no se pudo hacer los controles cardiológicos pero igualmente refiere sentirse muy bien físicamente. Sigue contando con el apoyo de su flia.",POSITIVO,se encuentra muy bien de animo no se pudo hacer los controles cardiologicos pero igualmente refiere sentirse muy bien fisicamente sigue contando con el apoyo de su flia ,R
2989,13/7/20 se da de baja por no tener telefono,NO RELEVANTE,_digit_ _digit_ _digit_ se da de baja por no tener telefono,NR
2990,Me reitero lo anterior que esta agradecida.. pero que  prefiere que llamemos y ayudemos a otra persona.,NO RELEVANTE,me reitero lo anterior que esta agradecida  pero que prefiere que llamemos y ayudemos a otra persona ,NR
2991,"14/7/20, contesto a la encuesta y nos conectamos por facebook también






77",NO RELEVANTE,_digit_ _digit_ _digit_ contesto a la encuesta y nos conectamos por facebook tambien_digit_,NR
2992,Sin novedad,NO RELEVANTE,sin novedad,NR
2993,RESPONDIO EL LLAMADO NO NECESITA NADA MUY AGRADECIDA QUE LA LLAME.,POSITIVO,respondio el llamado no necesita nada muy agradecida que la llame ,R
2994,Hablo con la esposa le informo sobre vacunacion de acuerdo a informacion recavada.,NECESIDADES OPERATIVAS,hablo con la esposa le informo sobre vacunacion de acuerdo a informacion recavada ,NEC_OP
2995,"Marta se encuentra bien de ánimo, continúa con las clases de Yoga que brinda el municipio. Su hijo Damián le realiza las compras.
También se comunica con sus amigos lo cual la mantiene en actitud positiva.",POSITIVO,marta se encuentra bien de animo continua con las clases de yoga que brinda el municipio su hijo damian le realiza las compras tambien se comunica con sus amigos lo cual la mantiene en actitud positiva ,R
2996,no contesta,NO RELEVANTE,no contesta,NR
2997,"12.00 hs.
hablé con Julio y Maria Cristina, les facilité los teléfonos de la Dir. de Zoonosis (4513-9871/ 4799-3240), también les dije que el permiso para circular solo debe ser el que otorga Provincia Bs. As.",NEUTRAL,_digit_ _digit_ hs hable con julio y maria cristina les facilite los telefonos de la dir de zoonosis _digit_-_digit_ _digit_-_digit_  tambien les dije que el permiso para circular solo debe ser el que otorga provincia bs as ,NR
2998,"HABLE CON MARIA DEL CARMEN Y ESTA BIEN , Y TAMBIEN CON MARTINA ESTA UN POCO MEJOR  LA PIERNA",POSITIVO,hable con maria del carmen y esta bien  y tambien con martina esta un poco mejor la pierna,R
2999,"Se habló con la voluntaria para designarle a la Lic VANSANWEGHE Nayla
Inicio 03/06 Frecuencia semanal",NECESIDADES OPERATIVAS,se hablo con la voluntaria para designarle a la lic vansanweghe naylainicio _digit_ _digit_ frecuencia semanal,NEC_OP
3000,Llamé al celular. No atendió,NO RELEVANTE,llame al celular no atendio,NR
3001,Agradecido por pedido de alimentos que le hice y lo retiró el mismo. Se encuentran bien el y su señora.,NECESIDADES OPERATIVAS,agradecido por pedido de alimentos que le hice y lo retiro el mismo se encuentran bien el y su senora ,NEC_OP
3002,LLamé al celular pero me atendió el contestador automatico. Pruebo mas tarde,NO RELEVANTE,llame al celular pero me atendio el contestador automatico pruebo mas tarde,NR
3003,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva i en domicilio _digit_ _digit_ _digit_ ,NEC_OP
3004,llamado por cursos,NO RELEVANTE,llamado por cursos,NR
3005,La Señora Beatriz Dib se encuentra bien .,POSITIVO,la senora beatriz dib se encuentra bien ,R
3006,"Llame a Alicia para avisarle que le van a llegar lo alimentos , no se sentía  bien , el hijo estaba con ella y cree que pasaron ya a dejarlos, lo que no sabía es si su hijo los había llegado a atender.",NEGATIVO,llame a alicia para avisarle que le van a llegar lo alimentos  no se sentia bien  el hijo estaba con ella y cree que pasaron ya a dejarlos lo que no sabia es si su hijo los habia llegado a atender ,R
3007,Sigue sin atender el telefono,NO RELEVANTE,sigue sin atender el telefono,NR
3008,"El esposo de Cecilia, Jorge Reparas es no vidente. Hay algunos beneficios que aparentemente por ley no le aplican, pero él quisiera estar seguro de qué beneficios podría aprovechar, ya que los necesita. Solicita que alguien de la Municipalidad, que lo pueda asesorar en políticas de Discapacidad, se ponga en contacto con él.",NECESIDADES OPERATIVAS,el esposo de cecilia jorge reparas es no vidente hay algunos beneficios que aparentemente por ley no le aplican pero el quisiera estar seguro de que beneficios podria aprovechar ya que los necesita solicita que alguien de la municipalidad que lo pueda asesorar en politicas de discapacidad se ponga en contacto con el ,NEC_OP
3009,Se entrega Alimentos en domicilio 7/8/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
3010,esta bien,POSITIVO,esta bien,R
3011,Entrega de productos de limpieza,NECESIDADES OPERATIVAS,entrega de productos de limpieza,NEC_OP
3012,Es un Amor la señora Monica hablamos de todo y respondio la encuesta.,NO RELEVANTE,es un amor la senora monica hablamos de todo y respondio la encuesta ,NR
3013,"Hablé con Cecilia y Jorge, todo ok",POSITIVO,hable con cecilia y jorge todo ok,R
3014,Se la escuchaba bien a pesar de su caída en la cocina. Reclamaba la caja y en  el día de hoy envié mail solicitándola.,NECESIDADES OPERATIVAS,se la escuchaba bien a pesar de su caida en la cocina reclamaba la caja y en el dia de hoy envie mail solicitandola ,NEC_OP
3015,La LIC NÓBREGA informa la finalización del Apoyo psicológico,NEUTRAL,la lic nobrega informa la finalizacion del apoyo psicologico,NR
3016,Se le entrego la caja,NECESIDADES OPERATIVAS,se le entrego la caja,NEC_OP
3017,No contesto.,NO RELEVANTE,no contesto ,NR
3018,"Ante un nuevo llamado, luego de varios intentos, sale un contestador.",NO RELEVANTE,ante un nuevo llamado luego de varios intentos sale un contestador ,NR
3019,Se entrego alimentos en domicilio el 28/08/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3020,SE ENTREGO ALIMENTOS EN DOMICILIO EL 24/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3021,"Necesita CAJA DE ALIMENTOS ESPECIAL para Daibeticos. La caja deberia contener mas frutas , verduras, carne, edulcorante. No puede consumir azucar, polenta.  
Su hija la retiraria y se la entregaria en el Hogar.",NECESIDADES OPERATIVAS,necesita caja de alimentos especial para daibeticos la caja deberia contener mas frutas  verduras carne edulcorante no puede consumir azucar polenta  su hija la retiraria y se la entregaria en el hogar ,NEC_OP
3022,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3023,No le interesa participar de talleres por ahora,NO RELEVANTE,no le interesa participar de talleres por ahora,NR
3024,El Sr Iacoponi fallecio- Hable con su esposa (Silvia Fittaioli) muy contenta por el llamado. Esta bien pero necesita informacion para vacunarse. (mismo telefono que el esposo),NECESIDADES OPERATIVAS,el sr iacoponi fallecio- hable con su esposa silvia fittaioli muy contenta por el llamado esta bien pero necesita informacion para vacunarse  mismo telefono que el esposo ,NEC_OP
3025,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ se entrego alimentos en domicilio,NEC_OP
3026,Se entrega material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,se entrega material cognitivo en domicilio _digit_ _digit_ _digit_ ,NEC_OP
3027,Se entrego alimentos en domicilio el 28/08/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3028,La persona asistida pidió ayuda piscológica. La llama asiduamente la Lic. María de los Angeles Morales. Muy conforme con el cuidado y el trato,NECESIDADES OPERATIVAS,la persona asistida pidio ayuda piscologica la llama asiduamente la lic maria de los angeles morales muy conforme con el cuidado y el trato,NEC_OP
3029,15/7/20 No me pude comunicar.,NO RELEVANTE,_digit_ _digit_ _digit_ no me pude comunicar ,NR
3030,"Ya se realizó la derivación al área correspondiente para la entrega de la caja de alimentos a domicilio. De todas maneras, le recordamos que la entrega se realiza cada 15 días, por lo tanto, la estarán contactando la semana que viene probablemente",NECESIDADES OPERATIVAS,ya se realizo la derivacion al area correspondiente para la entrega de la caja de alimentos a domicilio de todas maneras le recordamos que la entrega se realiza cada _digit_ dias por lo tanto la estaran contactando la semana que viene probablemente,NEC_OP
3031,"con zulema hablamos a traves de su hermana, leticia. por su avanzada enfermedad, ella no puede sostener una conversacion muy extensa. ella esta bien",NEGATIVO,con zulema hablamos a traves de su hermana leticia por su avanzada enfermedad ella no puede sostener una conversacion muy extensa ella esta bien,R
3032,"solicita la asistencia alimentaria, pero no hay nadie que se la pueda alcanzar, pide por favor que se la alcancen a la casa",NECESIDADES OPERATIVAS,solicita la asistencia alimentaria pero no hay nadie que se la pueda alcanzar pide por favor que se la alcancen a la casa,NEC_OP
3033,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3034,todo bien,POSITIVO,todo bien,R
3035,"le llego el bolson de alimentos,contenta",NECESIDADES OPERATIVAS,le llego el bolson de alimentos contenta,NEC_OP
3036,esta bien,POSITIVO,esta bien,R
3037,Cambio el celular. Este numero ya no le pertenece.,NO RELEVANTE,cambio el celular este numero ya no le pertenece ,NR
3038,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 31/07/2020,NECESIDADES OPERATIVAS,se entrego material cognitivo en domicilio el _digit_ _digit_ _digit_,NEC_OP
3039,"ANGELA BIEN,  FUE A PAGAR LOS IMPUESTOS",POSITIVO,angela bien  fue a pagar los impuestos,R
3040,"el marido tiene problemas de salud, llama al hospital y no le dan respuestas, esta preocupada porque no sabe a donde ir",NEGATIVO,el marido tiene problemas de salud llama al hospital y no le dan respuestas esta preocupada porque no sabe a donde ir,R
3041,CONTENTO PORQUE RECIBIO LA TABLET HOY,NECESIDADES OPERATIVAS,contento porque recibio la tablet hoy,NEC_OP
3042,aviso de entrega de alimentos.  todo en orden,NECESIDADES OPERATIVAS,aviso de entrega de alimentos  todo en orden,NEC_OP
3043,"La Señora Inés Flores  el día 14 de Agosto no pude cargarlo pero me comuniqué y  se encontraba bien.
La Señora Inés Flores el día de hoy se encuentra bien.",POSITIVO,la senora ines flores el dia _digit_ de agosto no pude cargarlo pero me comunique y se encontraba bien la senora ines flores el dia de hoy se encuentra bien ,R
3044,La señora garelik me informa que no recibio la caha d alimentos,NECESIDADES OPERATIVAS,la senora garelik me informa que no recibio la caha d alimentos,NEC_OP
3045,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ se entrego alimentos en domicilio,NEC_OP
3046,"HABLE CON MARTINA Y ESTA UN POCO MEJOR ,Y CON LO DE PAMI YA MANDARON  TODO PARA LA AUTORIZACION DEL ENFERMERO YO YA HABLE A PAMI TAMBIEN",NEGATIVO,hable con martina y esta un poco mejor y con lo de pami ya mandaron todo para la autorizacion del enfermero yo ya hable a pami tambien,R
3047,Llamado de segumiento y llenar la ficha integral,NO RELEVANTE,llamado de segumiento y llenar la ficha integral,NR
3048,llamado y no contesta.,NO RELEVANTE,llamado y no contesta ,NR
3049,se encuentra bien .me atendio su hija pamela y su mama no necesita nada por ahora .,POSITIVO,se encuentra bien me atendio su hija pamela y su mama no necesita nada por ahora ,R
3050,"necesita q le entreguen la caja ,hace 26 dias q no hacen",NECESIDADES OPERATIVAS,necesita q le entreguen la caja hace _digit_ dias q no hacen,NEC_OP
3051,"Hablo con Libertad. Vive sola y anda en silla de ruedas, no tiene familiares/vecinos/amigos que puedan ayudarla. Necesita alguien que le haga los trámites/compras. En el banco no le permiten más cobrar por ventanilla, le dicen que tiene que habilitar su tarjeta de débito (el miércoles 27/5 debe ir)y le cuesta mucho ir sola porque no sabe usar el cajero y no le quiere dar su clave al remisero que la lleva al banco. También necesitaría que alguien le compre los remedios. Solo sale una vez por mes para ir a cobrar y para comprar remedios. Ella antes tenía a su ex marido como apoderado pero ahora él se encuentra internado porque también es mayor, y ya no le puede hacer los trámites. En cuanto a la comida, tiene un conocido cerca a quien le compra comidas (4 por día ya que es diabética y debe seguir un régime específico) Pide si existe la posibilidad de que algún voluntario la ayude con estos trámites, dice que sería solo una vez al mes y que ella podría pagar un bono si la municipalidad provee. Ella lo dice porque su caso es especial, no tiene a nadie y no puede moverse.",NECESIDADES OPERATIVAS,hablo con libertad vive sola y anda en silla de ruedas no tiene familiares vecinos amigos que puedan ayudarla necesita alguien que le haga los tramites compras en el banco no le permiten mas cobrar por ventanilla le dicen que tiene que habilitar su tarjeta de debito el miercoles _digit_ _digit_ debe ir y le cuesta mucho ir sola porque no sabe usar el cajero y no le quiere dar su clave al remisero que la lleva al banco tambien necesitaria que alguien le compre los remedios solo sale una vez por mes para ir a cobrar y para comprar remedios ella antes tenia a su ex marido como apoderado pero ahora el se encuentra internado porque tambien es mayor y ya no le puede hacer los tramites en cuanto a la comida tiene un conocido cerca a quien le compra comidas _digit_ por dia ya que es diabetica y debe seguir un regime especifico pide si existe la posibilidad de que algun voluntario la ayude con estos tramites dice que seria solo una vez al mes y que ella podria pagar un bono si la municipalidad provee ella lo dice porque su caso es especial no tiene a nadie y no puede moverse ,NEC_OP
3052,SE ENTREGO MATERIAL COGNITIVO 2 EN DOMICILIO 21/08/2020,NECESIDADES OPERATIVAS,se entrego material cognitivo _digit_ en domicilio _digit_ _digit_ _digit_,NEC_OP
3053,24/8 hice pedido de alimentos,NECESIDADES OPERATIVAS,_digit_ _digit_ hice pedido de alimentos,NEC_OP
3054,"La sra Elsa recibió el llamado para la entrega de la caja de alimentos, también está en el taller de bordado y muy contenta",NECESIDADES OPERATIVAS,la sra elsa recibio el llamado para la entrega de la caja de alimentos tambien esta en el taller de bordado y muy contenta,NEC_OP
3055,"Necesita el bolsón de comida. Verá si puede ir la hija mañana. De no poder, trataré de ir yo mañana. Sigue necesitando las tiras reactivas para la diabetes.",NECESIDADES OPERATIVAS,necesita el bolson de comida vera si puede ir la hija manana de no poder tratare de ir yo manana sigue necesitando las tiras reactivas para la diabetes ,NEC_OP
3056,"El AM SLAUKIN Ana DNI 5327159 se encuentra con su marido bien.
Me comentó la señora Ana SLAUKIN  que recibieron un llamado  informándoles que  el viernes próximo  les entregarán el bolsón de alimento.",NECESIDADES OPERATIVAS,el am slaukin ana dni _digit_ se encuentra con su marido bien me comento la senora ana slaukin que recibieron un llamado informandoles que el viernes proximo les entregaran el bolson de alimento ,NEC_OP
3057,Saber  como se sentia y acompañarla en una linda charla,NO RELEVANTE,saber como se sentia y acompanarla en una linda charla,NR
3058,"MIRTA BIEN TOMANDO MATE SOLA ANTES LO HACIA CON  SU HERMANA ESO EXTRANA,  SE ENTRETIENE CON  UN PEQUENA HUERTA EN EL BALCON COSECHARON TOMATE,CEBOLLA DE VERDEO, ACELGA ETC. ASI",NEUTRAL,mirta bien tomando mate sola antes lo hacia con su hermana eso extrana  se entretiene con un pequena huerta en el balcon cosecharon tomate cebolla de verdeo acelga etc asi,NR
3059,Esta todo ok,POSITIVO,esta todo ok,R
3060,Le mandé el aviso de la Patrulla de VL que me pasaron para alertar a los AM que no le habrán a cualquier la puerta y que sea precavida y como no lo podía leer se lo expliqué x audio. Me agradeció.,NEUTRAL,le mande el aviso de la patrulla de vl que me pasaron para alertar a los am que no le habran a cualquier la puerta y que sea precavida y como no lo podia leer se lo explique x audio me agradecio ,NR
3061,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3062,Se encuentra bien y alegre coordine un nuevo llamado el viernes cerca de las 4,POSITIVO,se encuentra bien y alegre coordine un nuevo llamado el viernes cerca de las _digit_,R
3063,se entrega  material cognitivo en domicilio 31/7/20.,NECESIDADES OPERATIVAS,se entrega material cognitivo en domicilio _digit_ _digit_ _digit_ ,NEC_OP
3064,Se les rompió la compu y estaría bueno poder conseguir una tablet para ellos,NEUTRAL,se les rompio la compu y estaria bueno poder conseguir una tablet para ellos,NR
3065,Bien de ánimo. Solicita de ser posible el bolsón de PAMI que no recibe.,NECESIDADES OPERATIVAS,bien de animo solicita de ser posible el bolson de pami que no recibe ,NEC_OP
3066,Esta muy bien de animo,POSITIVO,esta muy bien de animo,R
3067,"Se encuentra bien, me comentó que se le quemó la computadora que era su único medio de conexión ya que el celular que tiene es muy viejo y no tiene internet. Una amiga le comento que estaban entregando tablets en un centro de jubilados y quiere saber si ella puede solicitarla.",NECESIDADES OPERATIVAS,se encuentra bien me comento que se le quemo la computadora que era su unico medio de conexion ya que el celular que tiene es muy viejo y no tiene internet una amiga le comento que estaban entregando tablets en un centro de jubilados y quiere saber si ella puede solicitarla ,NEC_OP
3068,"Leticia se encuentra bien, hablamos de todo un poco y definitivamente nos hace bien a las dos.",POSITIVO,leticia se encuentra bien hablamos de todo un poco y definitivamente nos hace bien a las dos ,R
3069,"Desde la Municipalidad me informan que le avise al AM que en el día de hoy viernes a partir de las 14Hs. Le estarán entregando la caja de alimentos. ---Llamo al AM y le informo esto, agradece el contacto.",NECESIDADES OPERATIVAS,desde la municipalidad me informan que le avise al am que en el dia de hoy viernes a partir de las _digit_hs le estaran entregando la caja de alimentos ---llamo al am y le informo esto agradece el contacto ,NEC_OP
3070,SE ENTREGO ALIMENTOS EN DOMICILIO 21/08/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio _digit_ _digit_ _digit_,NEC_OP
3071,Le envié correo con la oferta de cursos disponibles,NO RELEVANTE,le envie correo con la oferta de cursos disponibles,NR
3072,Hemos realizado la derivación correspondiente al área para el envío de alimentos a domicilio. A la brevedad se estarán comunicando para coordinar la entrega.,NECESIDADES OPERATIVAS,hemos realizado la derivacion correspondiente al area para el envio de alimentos a domicilio a la brevedad se estaran comunicando para coordinar la entrega ,NEC_OP
3073,La llame. Se encuentra mejor. Me reclamo la caja. Enviaré nuevamente mail,NECESIDADES OPERATIVAS,la llame se encuentra mejor me reclamo la caja enviare nuevamente mail,NEC_OP
3074,Sin novedad,NO RELEVANTE,sin novedad,NR
3075,"todavía el vecino no pudo ir a retirarle la bolsa. le va a volver a pedir. la voy a volver a llamar, sino tal vez se la podemos llevar.",NECESIDADES OPERATIVAS,todavia el vecino no pudo ir a retirarle la bolsa le va a volver a pedir la voy a volver a llamar sino tal vez se la podemos llevar ,NEC_OP
3076,"hoy hable conlucia, informandome que habia ido su hijo  retirar la caja de alimentos.
muy conforme con lo recibido.
Me informo que el 25/7 tiene que retirar articulos de limpieza",NECESIDADES OPERATIVAS,hoy hable conlucia informandome que habia ido su hijo retirar la caja de alimentos muy conforme con lo recibido me informo que el _digit_ _digit_ tiene que retirar articulos de limpieza,NEC_OP
3077,SE ENTREGO ALIMENTOS EN DOMICILIO EL 31/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
3078,"Los días lindos sale a caminar hace 25 cuadras caminando para despejar la cabeza.. Me cuenta que estaba ayudando a su nieta  con inglés ya que ella es profesora de ingles, y que se encuentra haciendo las acividades en las que se anotó, yoga y pintura mas mi actividad de gimnasia por zoom.",NEUTRAL,los dias lindos sale a caminar hace _digit_ cuadras caminando para despejar la cabeza  me cuenta que estaba ayudando a su nieta con ingles ya que ella es profesora de ingles y que se encuentra haciendo las acividades en las que se anoto yoga y pintura mas mi actividad de gimnasia por zoom ,NR
3079,El sr está viviendo en una isla del tigre con su esposa y dos nietos. Lo llame y no atendió. Volveré a llamar,NO RELEVANTE,el sr esta viviendo en una isla del tigre con su esposa y dos nietos lo llame y no atendio volvere a llamar,NR
3080,Sin novedad,NO RELEVANTE,sin novedad,NR
3081,"hoy fui a lo de maria, ella esta bien. le compre algunas cosas y quedamos en seguir hablando cualquier urgencia o necesidad que tenga..esta de buen animo",POSITIVO,hoy fui a lo de maria ella esta bien le compre algunas cosas y quedamos en seguir hablando cualquier urgencia o necesidad que tenga esta de buen animo,R
3082,Sin novedad,NO RELEVANTE,sin novedad,NR
3083,Tel. s/ serv.,NO RELEVANTE,tel s serv ,NR
3084,TELEFONO OCUPADO,NO RELEVANTE,telefono ocupado,NR
3085,"Envío informe de la semana ,los AM están pasando  las etapas muy bien hacen caso y  están muy agradecidos con el voluntariado , siente como si yo fuese de su de la familia",POSITIVO,envio informe de la semana los am estan pasando las etapas muy bien hacen caso y estan muy agradecidos con el voluntariado  siente como si yo fuese de su de la familia,R
3086,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,el dia _digit_ _digit_ _digit_ se entrego alimentos en domicilio,NEC_OP
3087,manifesto necesidad de caja de alimentos,NECESIDADES OPERATIVAS,manifesto necesidad de caja de alimentos,NEC_OP
3088,"se encuentra   en el domicilio de su hijo, pues su nuera fue operada hoy por problemas oncológicos.  Está preocupada pero contenida.",NEGATIVO,se encuentra  en el domicilio de su hijo pues su nuera fue operada hoy por problemas oncologicos  esta preocupada pero contenida ,R
3089,pude comunicarme se encuentran bien de animo entreteniendose con las coasa de la casa  la mujer teje para entretenerce  seguire llamandolos,POSITIVO,pude comunicarme se encuentran bien de animo entreteniendose con las coasa de la casa la mujer teje para entretenerce seguire llamandolos,R
3090,La Sra. solicitó alimentos.  Se le informó que es necesaria una entrevista previa en Desarrollo Social (de acuerdo a lo informado por dicha Secretaría),NECESIDADES OPERATIVAS,la sra solicito alimentos  se le informo que es necesaria una entrevista previa en desarrollo social de acuerdo a lo informado por dicha secretaria ,NEC_OP
3091,.,NO RELEVANTE, ,NR
3092,"Se comunico conmigo la sobrina y me dice que hay que cambiar el domicilio porque se mudó.
El sistema no me permite hacerlo.  La nueva dirección es: Felix de Amador 3809 Dto. 4  Munro",NO RELEVANTE,se comunico conmigo la sobrina y me dice que hay que cambiar el domicilio porque se mudo el sistema no me permite hacerlo  la nueva direccion es felix de amador _digit_ dto _digit_ munro,NR
3093,"Consulta si tenemos algo que ver con las tablets que da Pami.-
Dejé la consulta por mail.-",NECESIDADES OPERATIVAS,consulta si tenemos algo que ver con las tablets que da pami -deje la consulta por mail -,NEC_OP
3094,EL DIA 07/08/2020 SE ENTREGO CUADERNILLO ESTIMULACION COGNITIVA 1,NECESIDADES OPERATIVAS,el dia _digit_ _digit_ _digit_ se entrego cuadernillo estimulacion cognitiva _digit_,NEC_OP
3095,"Me llego el correo electronico, pero un rato después me llamo Sara para indicarme que el asunto estaba resuelto",NO RELEVANTE,me llego el correo electronico pero un rato despues me llamo sara para indicarme que el asunto estaba resuelto,NR
3096,se entrega alimentos en domicilio 31/7/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
3097,Me comunque por primera vez. Muy amable y con ganas de conversar. Se encuentra haciendo la cuanretena sola en una casa a 30 km de V.Martelli. Pero está muy bien fisicamente y cuidandose. Esta en contacto con hijos y compañeros del Centro Jubilados.,POSITIVO,me comunque por primera vez muy amable y con ganas de conversar se encuentra haciendo la cuanretena sola en una casa a _digit_ km de v martelli pero esta muy bien fisicamente y cuidandose esta en contacto con hijos y companeros del centro jubilados ,R
3098,Estaba ocupada haciendo algunas cosas del hogar y no tenia mucho tiempo para charlar.,NEUTRAL,estaba ocupada haciendo algunas cosas del hogar y no tenia mucho tiempo para charlar ,NR
3099,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva i en domicilio _digit_ _digit_ _digit_ ,NEC_OP
3100,SE ENTREGO MATERIAL DE ESTIMULACION COGNITIVA 1 Y 2 EL DIA 14/08/2020,NECESIDADES OPERATIVAS,se entrego material de estimulacion cognitiva _digit_ y _digit_ el dia _digit_ _digit_ _digit_,NEC_OP
3101,"---Le informo a la AM que Eva (cuidadora) ya tiene el certificado para circular, queda pendiente que lo imprima y que vaya a la casa de la AM. La AM pide si le puedo averiguar si hay disponible algún bono para jubilados, por discapacidad, algún tipo de subsidio como el IFE, ya que ella cobra la jubilación mínima y no le alcanza.
---Me pregunta si tuve novedades sobre el pedido de silla de ruedas, le indico que no, que lo último que habíamos hablado era que su médico de cabecera tiene que hacer el resumen de historia clínica. 
---Llamo al 130 (ANSES) para averiguar por subsidios, no logro hablar con ningún representante.",NECESIDADES OPERATIVAS,---le informo a la am que eva cuidadora ya tiene el certificado para circular queda pendiente que lo imprima y que vaya a la casa de la am la am pide si le puedo averiguar si hay disponible algun bono para jubilados por discapacidad algun tipo de subsidio como el ife ya que ella cobra la jubilacion minima y no le alcanza ---me pregunta si tuve novedades sobre el pedido de silla de ruedas le indico que no que lo ultimo que habiamos hablado era que su medico de cabecera tiene que hacer el resumen de historia clinica ---llamo al _digit_ anses para averiguar por subsidios no logro hablar con ningun representante ,NEC_OP
3102,"Está bien, se cuida del frío y de la presión, agradece el llamado.",POSITIVO,esta bien se cuida del frio y de la presion agradece el llamado ,R
3103,Se la escuchaba bien.,POSITIVO,se la escuchaba bien ,R
3104,"El AM se encuentra en general en buen estado, pero acaba de cambiar su medicación para los huesos por lo cual me comentó que está débil y tiene que descansar. Hablamos un ratito porque estaba acostada.",NEGATIVO,el am se encuentra en general en buen estado pero acaba de cambiar su medicacion para los huesos por lo cual me comento que esta debil y tiene que descansar hablamos un ratito porque estaba acostada ,R
3105,Me dio su celular 1565059417,NO RELEVANTE,me dio su celular _digit_,NR
3106,HABLE CON LUISA   Y ESTA MUY BIEN  ESTUVO  HABLANDO CON LOS HIJOS Y NIETA  MUY CONTENTA,POSITIVO,hable con luisa  y esta muy bien estuvo hablando con los hijos y nieta muy contenta,R
3107,la llame se encontraba bien  estanba con mucho trabajo ella es artesana .,POSITIVO,la llame se encontraba bien estanba con mucho trabajo ella es artesana ,R
3108,"Hablamos con Adriana un montón. Se encuentran bien, de buen ánimo.
Realizamos la encuesta.",POSITIVO,hablamos con adriana un monton se encuentran bien de buen animo realizamos la encuesta ,R
3109,15/7 No me pude comunicar,NO RELEVANTE,_digit_ _digit_ no me pude comunicar,NR
