etiqueta1,etiqueta1a,etiqueta2,etiqueta2a,etiqueta3,etiqueta3a,etiqueta4,etiqueta4a,etiqueta5,etiqueta_final,id,necesidades operativas,texto
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,847,,"09/06/20 - Llamo a AM al 4766-5191. Hablo con AM. Se encuentran bien. Fueron el día de ayer al Hospital para seguir con las sesiones de Kinesio de su esposa JOSEFINA. Estaba preocupada por la cantidad de gente que había en el Hospital. Consulto si él sigue haciendo las compras, dice que si, ofrezco coo. la Caja de Alimentos del Municipio. Me indica que si la entregan a la casa no hay problema, le da verguenza pedir pero que ambos cobran la mínima, le digo que no es ninguna verguenza, además la ayuda también viene para que no se expongan tanto tiempo en la calle. Enviaré mail y si me confirman para el Viernes de esta semana les aviso mañana que me contestan. Empezamos a hablar sobre la actualidad y me comparte una página sobre estadísticas.  Agradece el llamado y cortamos."
,negativo,,negativo,,neutral,,,,negativo,848,,"
Ayer tuvo que ir hasta el Hosp. Houssay, para descartar consecuencias de un dolor de cabeza importante, la atendieron y resultó ser una gran contractura cervical, ya está en la casa, medicada y mas tranquila! Destacan nuestra inquietud."
,no relevante,,no relevante,,no relevante,,,,no relevante,849,,intento nuevamente sigue la misma situacion
,positivo,,positivo,,positivo,,,,positivo,850,,"todo bien, sin novedades"
,positivo,,positivo,,necesidades operativas,,,,positivo,851,,Bien de ánimo. Recibió información de la caja alimentaria  nueva fecha y hará consulta al 147 por tema ABL.
,no relevante,,no relevante,,no relevante,,,,no relevante,852,,-
,negativo,,neutral,,no relevante,,,,negativo,853,,Contención
,negativo,,negativo,,positivo,,,,negativo,854,,HABLE CON MARIA DEL CARMEN   Y EL HERMANO ESTA UN POCO MEJOR  (HUMBERTO)  fue el PSIQUIATRA  Y LO MEDICO  Y LA PIERNA ESTA UN POCO  MEJOR  MARTINA  ESTA BIEN
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,855,,SE ENTREGO TUTORIALES EN DOMICILIO 28/08/2020
,positivo,,positivo,,positivo,,,,positivo,856,,Se encuentra bien
,positivo,,negativo,,neutral,,,,negativo,857,,Me comuniqué en el día de hoy nuevamente con la Sra. Luisa Evelia Verón en este día se encontraba en buen estado de salud y mejor en estado emocional. El miércoles se cumplian fechas tristes para ella y por eso estaba inestable emocionalmente. Me agradecio mi apoyo y contención.
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,858,,"Llamo a AM a 1541921131, me comenta que aun no se comunicaron de la municipalidad, pero que en los otros teléfonos que tiene había llamadas perdidas. Por lo tanto voy a indicar que se contacten con este numero, ya que los otros no los llega a atender porque están en otro sector. Luego me comenta que por el cambio de clima, esta con tos y fiebre pero que ya tomo un medicamento. Le comento de todas formas los números de contacto en caso que los síntomas persistan, me comenta que su nieta y hija también están así pero que es por el frió. Luego hablamos un poco de su rutina diaria, agradece por todo lo que estamos gestionando y finaliza la llamada."
,,,positivo,,positivo,,,,positivo,859,,se encuentran bien de animo sigo llamando
,positivo,,positivo,,positivo,,,,positivo,860,,Se encuentra bien de salud. Familiares le hicieron las compras y retiraron remedios de la farmacia. Se pacta llamado para dentro de una semana
,positivo,,positivo,,positivo,,,,positivo,861,,todo bien
,positivo,,positivo,,positivo,,,,positivo,862,,"Se encuentran muy bien, y esta preparando un proyecto.  para la comunidad."
,positivo,,negativo,,neutral,,,,negativo,863,,"09/06/20 - Llamo a AM al 4790-5916. Hablo con esposa Nancy quien me pasa con AM. Me presento, consulto como se encuentra. Están OK, él sigue haciendo las compras en comercios de cercanía, le propongo gestionar la caja de alimentos que da el municipio, él prefiere por el momento no que aún tienen para comprar alimentos, mejor dejar a quienes más lo necesiten, le indico que también se lo ofrezco para que no tenga que salir tan seguido y exponerse. De todas formas de momento no requiere. Se queja un poco del presidente y establecemos nueva llamada el Martes que viene"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,864,,"Enviamos, vía mail, la información necesaria a la voluntaria para la obtención de dicho medicamento en el banco de drogas del Hospital Cetrángolo"
,positivo,,neutral,,positivo,,,,positivo,865,,"Se la escucho bien, hacia referencia al frío pero que se estaba cuidando."
,no relevante,,no relevante,,no relevante,,,,no relevante,866,,Lame en el transcurso de la tarde y no me pude comunicar.
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,867,,"Necesita alimentos, es jubilado y ha estado comprando en un lugar donde no se respetan los precios, con el dinero de su jubilación no podrá alimentarse todo el mes."
,positivo,,positivo,,positivo,,,,positivo,868,,se encuentran bien
,positivo,,positivo,,positivo,,,,positivo,869,,El sr informa que él y su esposa se en cuentran bien.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,870,,Por los productos de limpieza
,positivo,,positivo,,positivo,,,,positivo,871,,me comunique en el dia de hoy. el señor pedro se encuentra bien.
,positivo,,positivo,,positivo,,,,positivo,872,,esta bien !!
,positivo,,positivo,,necesidades operativas,,,,positivo,873,,"Loretto María Isabel, está a la espera de ser llamada por el psicólogo. Hoy se encuentra bien."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,874,,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,neutral,,neutral,,no relevante,,,,neutral,875,,"Estaba con el Kinesiologo, quede que la llamo mañana."
,positivo,,positivo,,positivo,,,,positivo,876,,La señora se encuentra bien. Sin novedades
,neutral,,no relevante,,neutral,,,,neutral,877,,"Hablo con Ines por whatsapp, hoy llegó Guadalupe a Argentina a las 4AM. No tiene necesidades, mantenemos ctc por acompañamiento"
,no relevante,,no relevante,,no relevante,,,,no relevante,878,,"No se encuentra en la casa, me dijeron que llame más tarde."
,positivo,,positivo,,positivo,,,,positivo,879,,"se encuentra muy bien.Acompañada de sus fliares
saludos"
,no relevante,,no relevante,,no relevante,,,,no relevante,880,,ENCUESTA
,no relevante,,no relevante,,no relevante,,,,no relevante,881,,6/7/20 Llamé y no tuve respuesta.  Pruebo llamar nuevamente durante la semana.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,882,,"Solicita por favor,  si  se puede conseguir una Orden para laboratorio para realizarse un Urocultivo, ya que tuvo una infeccion urinaria y persiste la molestia. Su medico esta con Coronavirus ."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,883,,"Olvaldo necesita tomar Tafirol Forte de 650 mg, por 30 comprimidos ya que tiene artrosis. Este medicamento es de venta libre y el tiene PAMI."
,no relevante,,no relevante,,no relevante,,,,no relevante,884,,saber como se encontraba
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,885,,"estaba bien , necesita hacerse análisis por Pami ,su medica esta en el hospital, se acerco a la uap mas cercana y le dijeron que por pami no podían hacerle la receta"
,necesidades operativas,,positivo,,necesidades operativas,,,,necesidades operativas,886,,"Me dijo que todavía espera el llamado,  para que la ayuden con la tablet. La encontré bien anímicamente."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,887,,Se entrega Alimentos en domicilio 21/8/20.
,no relevante,,no relevante,,no relevante,,,,no relevante,888,,Llamo y no atiende la llamada.
,no relevante,,no relevante,,no relevante,,,,no relevante,889,,admitio no necesitar el servicio
,positivo,,positivo,,positivo,,,,positivo,890,,se encuentran bien de animo sigo llamando
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,891,,"En el dia de hoy llame para saber como le habia ido a su nuera con el retiro de los alimentos .
Me informa que todavia no fueron por tema de organizar a su nuera para retirarlo yque habian perdido mis datos  personales (voluntaria) para poder informar al retirar los alimentos"
,negativo,,negativo,,negativo,,,,negativo,892,,Enojada porque no hay peluquerías y tiene el pelo largo.
,positivo,,neutral,,neutral,,,,neutral,893,,me contacte todo normal
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,894,,Se entrega alimentos  en domicilio 24/7/20.
,no relevante,,no relevante,,no relevante,,,,no relevante,895,,No pude comunicarme
,positivo,,positivo,,positivo,,,,positivo,896,,esta bien totalmente recuperada
,no relevante,,no relevante,,no relevante,,,,no relevante,897,,No pude comunicarme
,neutral,,positivo,,necesidades operativas,,,,necesidades operativas,898,,se hablo con beatriz  se le informa lo del abl va a llamar todo bien
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,899,,lE AVISE QUE YA HABIA HECHO EL RECLAMO DE LA CAJA A DOMICILIO DE ALIMENTOS
,no relevante,,no relevante,,no relevante,,,,no relevante,900,,"MATTIENEI SILVIA
 31.8.2020 11:45
Lamado sin contestar"
,negativo,,negativo,,negativo,,,,negativo,901,,"pobre, tiene tantas complicaciones de salud, que escucharla es lo mejor que puedo hacer."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,902,,SE ENTREGO ALIMENTOS EN DOMICILIO 21/08/2020
,neutral,,neutral,,neutral,,,,neutral,903,,"Estuve hablando, vive en 1er piso por escalera, tiene un cocker"
,neutral,,positivo,,neutral,,,,neutral,904,,Disfruta mucho conversar.  Se disculpó por hacer catarsis pero esto la ayuda un montón. Agradece que la Municipalidad haya creado este programa y le interesa que avances sobre las demás propuestas.
,no relevante,,no relevante,,no relevante,,,,no relevante,905,,No contesto el llamado.
,necesidades operativas,,positivo,,necesidades operativas,,,,necesidades operativas,906,,"Realicé el llamado en el día de hoy. Tanto Álvaro como su familia se encuentran bien, me solicitaron si podría ayudar a una amiga de ellos que vive en Vicente López con este voluntariado ya que está pasando una situación crítica y es adulta mayor.

Los datos de la persona en cuestión son:
Nombre: Ángela
Apellido: Trovato
DNI: 5.334.133
Domicilio: Madero 806, Vicente López 
Teléfono: 4791-0993"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,907,,Tengo una adulto que me comenta que le gustaria participar de los programas online que tiene la municipalidad pero no tiene dispositivo para conectarse. Hay posibilidades de conseguir una tablet?
,no relevante,,no relevante,,no relevante,,,,no relevante,908,,Llamado de seguimiento y preguntarle si le interesan las actividades culturales que ofrecerá el Gobierno
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,909,,05/06/2020 SE ENTRGO ALIMENTOS EN DOMICILIO
,positivo,,positivo,,neutral,,,,positivo,910,,"Hoy realicé el primer contacto con Marta, me comentó que nunca había tenido contacto con un voluntario y que yo era la primera. Muy dispuesta a hablar, coordinamos un nuevo llamado para el día 17/08/2020, también nos comunicamos por whatsapp y dejé esa vía abierta para que me hable cuando desee.
La visita su nieto todos los domingos, tiene contacto telefónico con amigas y para pasar el tiempo juega juegos con su celular y también realza actividades que le envían desde un grupo de amigos (al parecer era como un centro de jubilados) para la memoria y para agilizar la mente. 
Busca pasar el tiempo pero la encontré bastante bien."
,positivo,,positivo,,necesidades operativas,,,,positivo,911,,Hoy la llame para avisarle que le llega el bolson de alimentos y charlamos poco pero muy animada
,positivo,,positivo,,positivo,,,,positivo,912,,"Los encontré con un buen estado anímico, siguen cumpliendo la cuarentena, informándose mediante las noticias."
,no relevante,,no relevante,,no relevante,,,,no relevante,913,,Sin novedad
,positivo,,positivo,,positivo,,,,positivo,914,,Todo en orden
,positivo,,positivo,,neutral,,,,positivo,915,,"Sigue bien, a veces en la noche usa un gel por sus dolores musculares, esta feiiz porque la llamo y charlamos, esta atenta al frío que se viene y manda saludos a mi familia."
,no relevante,,no relevante,,no relevante,,,,no relevante,916,,Sin novedad
,necesidades operativas,,neutral,,no relevante,,,,necesidades operativas,917,,"Hoy me contactaron de Desarrollo Social, para avisarme que hay otra persona llamada Fabio Lekerman, con la misma dirreccion y telefono que  Fabio Adrián Lerman y es por eso que no puede enviarle la caja porque solo se entrega una caja por domicilio. Le ofrecí que vaya a Desarrollo Social junto con su DNI a retirar la caja y me dijo que no gracias."
,positivo,,positivo,,positivo,,,,positivo,918,,Hablé con la esposa y están bien!
,positivo,,positivo,,positivo,,,,positivo,919,,La Señora Inés Flores se encuentra bien.
,necesidades operativas,,no relevante,,neutral,,,,necesidades operativas,920,,La LIC NOBREGA informa la finalización del Apoyo psicológico
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,921,,"Animada,solicite el bolson de alimentos via mail."
,positivo,,no relevante,,positivo,,,,positivo,922,,"Hoy logré comunicarme pero con su hijo,  me avisa  que se encuentra bien pero no está en su domicilio en el momento."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,923,,"Llamé para charlar del tema inyecciones y comentarle que aún no recibí respuesta del tema medida de presión a domicilio, pero mañana llamo, el horario es de 8 a 12. Me comentó que el llamó a Salud y que no hay voluntarios enfermeros, comprendiendo que no es algo sencillo. Volvemos a hablar pronto."
,positivo,,positivo,,positivo,,,,positivo,924,,"esta bien , no necesita ayuda, hace sus compras solas"
,positivo,,positivo,,positivo,,,,positivo,925,,"13/7 Está muy bien, ocupando el día."
,positivo,,positivo,,positivo,,,,positivo,926,,Esta muy bien
,positivo,,positivo,,positivo,,,,positivo,927,,La Señora Malatesta Nelida hoy se encuentra bien .
,no relevante,,no relevante,,no relevante,,,,no relevante,928,,Tiene el tel. intervenido por llamados nocturnos molestos y me sugiere hablar en unos días. Agradece la comunicación y entendimiento.
,no relevante,,no relevante,,no relevante,,,,no relevante,929,,No responde los llamados
,necesidades operativas,,positivo,,necesidades operativas,,,,necesidades operativas,930,,El señor se encuentra en buen estado bien de animo a pesar que le volvieron a internar a la señora. Lo único que pide es una enfermera para cuando le den el alta puedan hacerle las curación en la herida del pie
,no relevante,,no relevante,,no relevante,,,,no relevante,931,,"NUNCA ME PUDE COMUNICAR CON EL  AM, EL NÚMERO DE CELULAR ENTRA DIRECTO EL CONTESTADOR."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,932,,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 31/07/2020
,no relevante,,no relevante,,no relevante,,,,no relevante,933,,el numero telefonico era de la sra. irene y quede en q la llamaba a las 17 hs para q me de el tefono de la sra. gago
,neutral,,no relevante,,no relevante,,,,no relevante,934,,"en el dia de hoy recibí la llamada de Perla que luego de dos veces que la llamé, vio en sus mensajes y me llamó. Tuvimos una charla larga y amena. asi que ya quedamos en contacto, a través de su Whatsapp"
,no relevante,,no relevante,,no relevante,,,,no relevante,935,,"Llamo a AM, la llamada suena y luego se indica que el numero es incorrecto."
,no relevante,,no relevante,,no relevante,,,,no relevante,936,,ENCUESTA
,positivo,,positivo,,positivo,,,,positivo,937,,"MIRTA BIEN, EL DIA DE SAN CAYETANO SE COMUNICARON POR SUN CON EL GRUPO DE AMIGOS QUE VAN TODOS LOS AÑOS  A LA IGLESIA, SE COMUNICARON 16 FAMILIAS FUE MUY GRATIFICANTE Y DIVERTIDO ME CUENTA ANGELA EL  SABADO Y DOMINGO HICIERON LO MISMO"
,positivo,,necesidades operativas,,neutral,,,,necesidades operativas,938,,"Esta bien, están llegando a vacunarla para la neumonia , agradece el llamado."
,positivo,,positivo,,positivo,,,,positivo,939,,"Tanto Roberto como Isabel están muy bien, y sigue cuidándose"
,positivo,,positivo,,positivo,,,,positivo,940,,"Ramón se encuentra bien de ánimo, se maneja sin probleamas"
,positivo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,941,,"Me comuniqué con Gabriel, me informó que la madre había recibido el bolsón de alimentos, se mostró agradecido por la ayuda."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,942,,CAJA A DOMICLIO
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,943,,Se entrega  Cuadernillo Estimulación Cognitiva I y II en domicilio 14/8/20.
,no relevante,,no relevante,,no relevante,,,,no relevante,944,,Sin novedad
,no relevante,,no relevante,,no relevante,,,,no relevante,945,,Sin novedad
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,946,,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,positivo,,positivo,,positivo,,,,positivo,947,,se encuentran bien
,positivo,,positivo,,positivo,,,,positivo,948,,"se encuentra bien de animo, muy amorosa"
,no relevante,,no relevante,,no relevante,,,,no relevante,949,,No contesto el llamado.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,950,,"con irene hablamos esta semana seguido , ayer me termino de mandar x wasap la medicacion que necesita y los datos de su medico de cabecera, para que yo gestione las recetas y mandarlas a la farmacia..todo ok. ya lo gestione. estoy esperando el mail de su medico asi puedo realizar el pedido a la farmacia"
,positivo,,positivo,,necesidades operativas,,,,positivo,951,,Hable nuevamente con la Sra. Luisa Verón. Se encuentra bien de salud y de humor pese a que se tuve que mudar momentaneamente a la casa de la hija debido a que se le tapo un caño en su casa lo que la hizo inhabitable. Ya reside en su domicilio. Consiguió la vacuna para tratar su cuadro de hipertensión. Se le pidió la caja de alimentos que le corresponde para esta semana.
,no relevante,,no relevante,,no relevante,,,,no relevante,952,,me comunique para ver como estaba y si tenia alguna necesidad.
,positivo,,positivo,,positivo,,,,positivo,953,,se encuentran bien de buen animo y contenidos por la familia
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,954,,Estimado: hemos derivado la solicitud de vacunación a domicilio a la Dirección de Atención Primaria de Salud para que puedan dar respuesta. Saludos!
,negativo,,negativo,,negativo,,,,negativo,955,,"cHARLAMOS UN RATO DE TODO Y ESTA PREOCUPADA POR LA IRRESPONSABILIDAD DE LA GENTE EN LA CALLE, SIN BARBIJOS Y SIN CUIDARSE."
,neutral,,necesidades operativas,,neutral,,,,neutral,956,,"Informa que ya se pudo contactar con el centro asistencia, informa que le darán la vacuna contra la gripe. Esta verificando con el Instituto Marini, para darle la vacuna a su esposo, ya que él quiere aplicarse las 2 y no quiere salir 2 veces. Pactamos llamado para el Viernes a las 15 a las 16 : 30 hs."
,positivo,,negativo,,neutral,,,,negativo,957,,"Cuando la llame estaba por ingresar a hace su tratamiento quedamos en ir hablándonos por wsapp o llamarnos mas tarde me conto que esta con mas ganas ya que se siente un poco mejor ahora que inicio  nuevamente con el tratamiento me mando el vídeo de su nieta comiendo banana por primera vez hablamos un poco de como esta ella y me agradece que sea tan atenta y buena con ella, a lo que siempre le digo que no hay nada que agradecer que para eso nos mantenemos en contacto para acompañarnos y estar ya sea para charlar o acompañarnos."
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,958,,"Consultar por turnos medicos en el hospital, mal economicamente si hay posibilidad de que reciba los bolsones de comida."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,959,,Se solicitó la continuidad de asistencia con alimentos via mail
,positivo,,positivo,,positivo,,,,positivo,960,,HABLE CON  SEFERINO ESTUVO EN EL  NEGOCIO  Y ESTA BIEN
,no relevante,,no relevante,,no relevante,,,,no relevante,961,,"Me atendio amablemente, pero me comento que ya la habían llama cuatro personas, que no necesita nada, solo dio las gracias."
,positivo,,neutral,,no relevante,,,,positivo,962,,"HABLE CON  MARIA LE MANDE INFORMACION POR MAIL, SOBRE CURSOS DE FRANCES PASO UN LINDO FIN DE SEMANA"
,no relevante,,no relevante,,no relevante,,,,no relevante,963,,Susana no a contestado el telefono la llame nuevante pero me da el contestador le deje mensaje
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,964,,Irene se encuentra necesitando asistencia alimentaria.
,neutral,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,965,,"Llamo a Hija de AM, me comenta que ya se contactaron para estar enviando la caja a su madre la próxima semana y ella ya tiene contacto con su voluntario. Le brindo números de contacto en caso que requieran algo mas. Agradece por toda la gestión, por las llamadas y finaliza la llamada."
,positivo,,positivo,,positivo,,,,positivo,966,,El Sr. Francisco esta muy tranquilo. Vive con su mujer e hijos. Muy amable y agradecio la llamada. No necesita alimentos ni medicamentos. Dicen estar bien- Ofreci llamarlo en la semana y acepto.
,neutral,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,967,,"Requiere vacuna contra la gripe y neumonia. Informa que en el día de mañana llamara a una salita cercana, para solicitar un turno."
,no relevante,,no relevante,,no relevante,,,,no relevante,968,,"Me comunique con la persona,  cuando quise realizar la encuesta me dijo que este tipo de cosas no le gustaba."
,no relevante,,no relevante,,no relevante,,,,no relevante,969,,Sin novedad
,positivo,,positivo,,positivo,,,,positivo,970,,MARIA DEL CARMEN BIEN ESPERANDO EL MIERCOLES PARA ABRIR UNAS HORAS EL NEGOCIO
,positivo,,positivo,,positivo,,,,positivo,971,,Hoy está muy animada y  se encuentra muy bien. Agradece los llamados .
,no relevante,,no relevante,,no relevante,,,,no relevante,972,,Sin novedad
,positivo,,positivo,,positivo,,,,positivo,973,,Se encuentra muy bien
,positivo,,positivo,,neutral,,,,positivo,974,,"Hablo con AM. Me comenta que el pudo hablar con un lugar especializado por su audifono.
Dice que ya tiene una idea de lo que deberia comprar pero que prefiere probarlo por lo que seguramente esperara a que termine la cuarentena para poder ir al lugar.
Dice que por el momento se encuentra bien.
Tambien le comento que encontre en la pagina de la municipalidad una seccion donde puede buscar todo tipo de documentacion historica del municipio (http://www.vicentelopez.gov.ar/archivohistorico/) le indico cual es y me dice que esta noche va a ingresar para buscar mas que nada fotos antiguas.
Ademas le comento sobre las actividades que esta proponiendo la municipalidad y me dice que podria estar interesado en YOGA pero no queire realmente comprometerse a horarios o dias fijos y que por su parte propone que haya alguna actividad relacionada al reciclaje, las energias renovables y/o las huertas, ya que el esta muy interesado en eso y cree que es bueno que la gente aprenda sobre eso."
,positivo,,positivo,,necesidades operativas,,,,positivo,975,,"Está bien, no necesita nada. Me comenta que hace un mes se mudó a una cuadra de su anterior domicilio y aparentemente le enviaron la nueva tarjeta de débito al domicilio viejo. Con lo cual me pide ayuda para averiguar donde está la tarjeta."
,positivo,,positivo,,positivo,,,,positivo,976,,"Agradece el llamado , esta bien"
,necesidades operativas,,no relevante,,necesidades operativas,,,,necesidades operativas,977,,"Se le envía al voluntario toda la información respecto de la asistencia alimentaria, vía mail. A su vez, se le adjunta otra información de diversos temas que puede ser de utilidad."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,978,,Le entregué la caja de alimentos.
,positivo,,positivo,,neutral,,,,positivo,979,,Bien de ánimo concurre al oculista por la tarde.
,positivo,,necesidades operativas,,neutral,,,,necesidades operativas,980,,"Ya se coloco la vacuna antigripal ,sigue cociendo los cuadradito para hacer las frazadita para cunas para Caritas"
,no relevante,,no relevante,,no relevante,,,,no relevante,981,,"La llame y le deje mensaje.  A parte me comunique por celular, por whatsapp."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,982,,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020
,no relevante,,no relevante,,no relevante,,,,no relevante,983,,No responde los llamados
,no relevante,,no relevante,,no relevante,,,,no relevante,984,,No responde los llamados
,no relevante,,no relevante,,no relevante,,,,no relevante,985,,"18/05/20 - Llamo a AM como habíamos pactado para esta fecha al 22005790, pero N/A x2"
,positivo,,positivo,,neutral,,,,positivo,986,,"todo bien, sin novedades"
,no relevante,,no relevante,,no relevante,,,,no relevante,987,,Sin novedad
,no relevante,,no relevante,,no relevante,,,,no relevante,988,,05/06/20 - Llamo a AM al 22005790 con intención de consultar si se habían comunicado finalmente de la secretaria de Desarrollo Social y si los habían asistido. Realizo 2 intentos pero N/A.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,989,,"volvi a tomar contacto con Teresa Lescano sigue sin recibir la ayuda y me reclama a mi la información que pidió en la comunicación anterior, por favor ocupense, se trata solo de cambiarle el lugar de entrega del bolson, gracias"
,neutral,,neutral,,neutral,,,,neutral,990,,Hablo con Ines. Brindo tel de CABA para la donación de libros: 47112800. Indica que tiene para regalar una impresora que ella ya no usa y ofrece si la quiero yo o algun familiar. Comenta lo que hizo en el día y anécdotas varias. Quedamos en seguir hablando el lunes
,positivo,,positivo,,neutral,,,,positivo,991,,se encuentra bien hablamos un poco de la vida me contó las cosas que estuvo haciendo y me agradeció mucho los llamados que es un mimo para ella y le hace pasar mejor los dias
,no relevante,,no relevante,,no relevante,,,,no relevante,992,,No contesta. Hoy envié un mail a voluntarios@vicentelopez.gov.ar y se me indicó que antes de tomar alguna medida siga insistiendo en diferentes horarios.
,no relevante,,no relevante,,no relevante,,,,no relevante,993,,Atiende el contestador
,no relevante,,no relevante,,no relevante,,,,no relevante,994,,25/8 Llamado
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,995,,"AM requiere de ayuda y acompañamiento profesional debido a que no sabe cómo lidiar con una persona con una enfermedad mental. Indica que su hija estaba siguiendo terapia en un hospital pero desde que empezó la cuarentena no ha tenido ningún contacto de seguimiento, dice que está bajo medicación pero requiere de asistencia profesional."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,996,,"Charla de salud, mañana voy a comprarle los medicamentos."
,no relevante,,no relevante,,no relevante,,,,no relevante,997,,Los teléfonos no corresponden a un abonado en servicio
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,998,,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 24/07/2020
,positivo,,positivo,,positivo,,,,positivo,999,,"Esta muy bien, y su familia también"
,negativo,,necesidades operativas,,no relevante,,,,necesidades operativas,1000,,nos comunicamos por whatsapp. me informo de un estudio que se debe hacer
,negativo,,positivo,,neutral,,,,negativo,1001,,"El señor se encuentra bien, su ex esposa lo ayuda en sus necesidades,el tiene permiso para circular en la vía pública.Su preocupación es un gran terreno abandonado frente a su casa...Estoy en contacto con desinfección para ver qué se puede hacer en este caso."
,positivo,,positivo,,positivo,,,,positivo,1002,,"Bueno...luego de varios intentos en varios días logre hablar con Patricia!!!Charlamos un buen rato! Esta muy bien, se arregla bien con las compras de la comida y también con sus medicamentos. Trata de mantenerse ocupada, y de no estar quieta. Se la escuchaba de buen animo y sabia que hacia varios días que intentaba hablar con ella. Conversamos también sobre sus amigas ...como iban llevando esta cuarentena . Quede en volver a llamar en los próximos días."
,negativo,,no relevante,,no relevante,,,,no relevante,1003,,"Llamo a AM a 155-139-7007, pero sin respuesta alguna en el cuarto día. Procedo a indicar en el caso ""Se mudo"""
,no relevante,,no relevante,,no relevante,,,,no relevante,1004,,NO RESPONDEN PORQUE SALE UN AUDIO QUE DICE QUE EL TELEFONO ESTA INCORRECTO O SE ENCUENTRA DESCONECTADO 11.35 HS
,positivo,,positivo,,positivo,,,,positivo,1005,,"Me informa que se encuentra bien, que no esta necesitando ninguna asistencia."
,no relevante,,no relevante,,no relevante,,,,no relevante,1006,,vive con su hija y no estA INTERESdA
,positivo,,neutral,,neutral,,,,neutral,1007,,"Se realizan llamados cada semana por línea directa y algunas veces por celular para mandarle alguna actividad de las redes, el señor José Alfredo si buen sale lo necesario tiene redes sociales y familiares q amenizan su aislamiento..."
,positivo,,positivo,,positivo,,,,positivo,1008,,Todo en orden
,no relevante,,no relevante,,no relevante,,,,no relevante,1009,,"hoy la llame, pero no pude comunicarme...hare el intento mas tarde"
,positivo,,negativo,,neutral,,,,negativo,1010,,"esta  bien aburrida , pero bien"
,positivo,,positivo,,positivo,,,,positivo,1011,,"solo nos comunicamos por telefono con norma, ella esta asistida por su hija, me dijo que en cuanto ella vuelva a trabajar, me iba avisar.. por si necesitaba algo.
esta muy bien de animo"
,negativo,,positivo,,neutral,,,,negativo,1012,,"Llamado de presentación. Se encuentra bien, tiene familia que la ayuda y le hace las compras. Tiene días y buenos y otros no tanto pero se mantiene ocupada tejiendo."
,no relevante,,no relevante,,no relevante,,,,no relevante,1013,,No pude comunicarme
,positivo,,positivo,,positivo,,,,positivo,1014,,HABLE CON SEFERINO Y ESTA BIEN PASO LINDO  FIN DE SEMANA
,no relevante,,no relevante,,no relevante,,,,no relevante,1015,,Sin novedad
