id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
488,SE ENTREGO ALIMENTOS EN DOMICILIO EL DIA 07/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
489,Ella tiene interes en hacer los talleres virtuales pero no tiene dispositivo. Insiste en saber si van a entregar tablets,NECESIDADES OPERATIVAS,interes talleres virtuales dispositivo insiste entregar tablets,NEC_OP
490,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
491,esta bien,POSITIVO,,R
492,"13.02hs.
Estan bien de salud los dos, Cristina está enojada por la pandemia y el tema de seguridad, insulta al Gobernador de la Provincia de Buenos Aires, dice que en todos los gobiernos que ve lo mismo, ""la JUSTICIA NO VE NADA Y ES SORDA!!!"".
Me responde muy agradecida por el llamado y por estar presente.",NEGATIVO,_digit_ _digit_hs salud enojada pandemia tema seguridad insulta gobernador provincia aires gobiernos ve justicia ve sorda responde agradecida llamado presente,R
493,"Llamé y me atendió una mujer, posiblemente la hija de Maria. Me dijo que llame en 20', ya que a Maria la estaba atendiendo el médico. Volví a llamar pero no atendió nadie. Dejé un mensaje a la hija preguntando cómo estaba Maria.",NO RELEVANTE,llame atendio mujer posiblemente hija llame _digit_ atendiendo medico volvi llamar atendio deje mensaje hija preguntando,NR
494,"Se encuentra bien, trato de conectarse al taller y no pudo",POSITIVO,trato conectarse taller,R
495,"Me cuenta que tuvo un problema con una vacuna, que pasaron por su casa y pensó que podía ser un caso de los que entran a robar, y que tuvo un ataque de nervios, después se pasó y habló con su hermana que trabaja en un centro de salud primaria del municipio, la hermana va a intentar que vayan de nuevo. Después charlamos bastante, agradeció el llamado.",NEGATIVO,problema vacuna pasaron casa penso podia caso entran robar ataque nervios paso hablo hermana trabaja centro salud primaria municipio hermana vayan charlamos agradecio llamado,R
496,"18.20hs:me atendió muy amable y rápidamente dijo que no necesitaba nada y al comentarle las nuevas actividades dijo que no le interesaba,a pesar que en su juventud jugaba ajedrez ahora le gusta más otros juegos de mesa que comparte con su esposo.
Me agradeció mucho el llamado y quedamos en hablar semana próxima.",POSITIVO,_digit_ _digit_hs atendio rapidamente necesitaba comentarle actividades interesaba juventud jugaba ajedrez gusta juegos mesa comparte esposo agradecio llamado quedamos hablar semana proxima,R
497,Recibió la caja de alimentos la leche se encontraba VENCIDA,NEGATIVO,recibio caja alimentos leche encontraba vencida,R
498,"Volvi a hablar con su hija,  se comunicó con Pami y por mail le dijeron que para gestionar la silla de rueda necesitaba orden de su médico de cabecera.  Tiene que ir la Pami que está dentro del hospital para hacer esa gestión. Le conseguí prestada una silla de ruedas de Apovilo pero no puede ir a retirarla porque no tiene autorizacón. Gestionó una para ir el miércoles al Htal., pero Apovilo sólo abre los martes, hasta el 9 no podremos hacer nada",NECESIDADES OPERATIVAS,volvi hablar hija comunico pami mail gestionar silla rueda necesitaba orden medico cabecera pami hospital gestion consegui prestada silla ruedas apovilo retirarla autorizacon gestiono miercoles htal apovilo abre martes _digit_ podremos,NEC_OP
499,Esta muy bien,POSITIVO,,R
500,"hablé con ella, de acuerdo a los comentarios de la voluntaria anterior, su hijo quedó sin trabajo y solicitaba ayuda para conseguir otro y que ambos vivían de su jubilación. Me extrañó mucho que no mencionara nada de esto, sólo aclaró que estaba atendida por el CLUB ANDEWAY? (esto es lo que entendí) Que no necesitaba de nosotros. Pido la baja del programa",NO RELEVANTE,hable acuerdo comentarios voluntaria hijo trabajo solicitaba ayuda vivian jubilacion extrano mencionara aclaro atendida club andeway entendi necesitaba pido baja programa,NR
501,Se encuentran un poco de pánico. Dice que sus hijos se encuentran un poco agresivos.,NEGATIVO,encuentran panico hijos encuentran agresivos,R
502,"Finalmente nació su nieta. Muchas emociones, alegre porque salió bien, triste por no estar, pero tuvo la alegria de cuidar a su nieta mayor mientras dus papás estaban en la maternidad. Otra vez se entristeció cuando de la llevaron. Está muy conmovida, y le ofrezco un mayor contacto, que me llame más si lo mecesita. Me manda fotos de la bebé y de la otra nieta, y un nuevo audio cuento que escribió a ver qué me parece (es el cuarto y la estimulo para que escriba  porque le hace bien y lo hace súper bien). Voy a estar en contacto diario estos días.",NEGATIVO,finalmente nacio nieta emociones alegre salio triste cuidar nieta dus maternidad entristecio llevaron conmovida ofrezco contacto llame mecesita fotos bebe nieta audio cuento escribio cuarto estimulo escriba super contacto diario,R
503,"se encuentra bien y agradece el llamado
saludos",POSITIVO,agradece llamado saludos,R
504,Al señor Flores le haría muy bien tener contacto con otra gente para no sentirse solo.,NEGATIVO,senor flores haria contacto gente sentirse,R
505,Hable la con la Sra. La encontré bien anímicamente.,POSITIVO,hable encontre animicamente,R
506,Se encuentra bien pasa sus días mirando un poco la tele y con la radio y haciendo algunas cosas en la casa para llevarlo de la mejor manera.,POSITIVO,pasa mirando tele radio casa llevarlo,R
507,Necesita turno para hacerse eccodopler y resonancia magnética para control cadera. Tiene orden de su médico de Pami,NECESIDADES OPERATIVAS,necesita turno hacerse eccodopler resonancia magnetica control cadera orden medico pami,NEC_OP
508,No pude comunicarme,NO RELEVANTE,pude comunicarme,NR
509,"La señora se encuentra bien, logró vacunarse ella y su mamá contra la gripe ,contenta por eso. Cuidándose y limitando sus salidas",POSITIVO,senora logro vacunarse mama gripe contenta cuidandose limitando salidas,R
510,Hable con su esposa Melitona. Tiene una hija que los asiste. Vuelvo a llamar en una semana,NEUTRAL,hable esposa hija asiste vuelvo llamar semana,NR
511,"GALVAN LIDIA
31.8.2020 12:30
Dice que ya tenia a Olga y que a ella le pidió la caja de alimentos hace 1 semana.-
Le pase el listado de actividades y quedamos que cuando sepa la fecha de retiro de alimentos le debo avisar.-",NECESIDADES OPERATIVAS,galvan _digit_ _digit_ _digit_ _digit_ _digit_ pidio caja alimentos _digit_ semana - pase listado actividades quedamos sepa fecha retiro alimentos debo avisar -,NEC_OP
512,"Proc ok, viernes consulta gastroenterologa. Chequear tema tablet.",NECESIDADES OPERATIVAS,proc ok viernes consulta gastroenterologa chequear tema tablet,NEC_OP
513,"Intenté hacer la encuesta pero no está interesada en dichas actividades. Prefiere cuando eventualmente quiere, buscar sus preferencias.",NEUTRAL,intente encuesta interesada dichas actividades prefiere eventualmente buscar preferencias,NR
514,No contesta los llamados,NO RELEVANTE,contesta llamados,NR
515,"Hoy hablé con Myrna y se encuentra bien, sigue preocupada por la situación pero es razonable y lógico, la llamaron para hacer video llamadas pero no le está andando bien la computadora, por lo cual le dije que íbamos a ver si le conseguíamos una tablet, la va a ayudar mucho a desconectarse y no pensar tanto en la pandemia. le dije que le averiguaba y luego me comunicaba con ella.",NECESIDADES OPERATIVAS,hable preocupada situacion razonable logico llamaron video llamadas andando computadora dije ibamos conseguiamos tablet ayudar desconectarse pensar pandemia dije averiguaba comunicaba,NEC_OP
516,Se entrega  material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
517,La sra se encuentra muy bien. No necesita nada.,POSITIVO,necesita,R
518,"Irma se mantiene activa con las actividades que le brinda el centro recreativo de tercera edad del cual forma parte. 
También está entretenida con las tareas de la casa y se mantiene en contacto con sus amigas.
Por el momento no me solicitó ningún pedido.",POSITIVO,mantiene activa actividades brinda centro recreativo edad forma entretenida tareas casa mantiene contacto amigas solicito pedido,R
519,Elevo la necesidad de especialista de columna para la AM a la Dirección de Atención Primaria de Salud.,NECESIDADES OPERATIVAS,elevo necesidad especialista columna am direccion atencion primaria salud,NEC_OP
520,"Prefiere que le brinden ayuda a otro adulto mayor, ella tiene a su hija y a su familia.",POSITIVO,prefiere brinden ayuda adulto hija familia,R
521,Me dijo que recibio la caja pero que no me habia avisado xq no anduvo muy bien el findepero que ya está mejor x suerte.,NEGATIVO,recibio caja avisado xq anduvo findepero suerte,R
522,"Ramón se encuentra muy bien de salud y de ánimo. Sigure adelante con el comedor que funciona frente a su domicilio y solicita donaciones al Municipio o a particulares. Muy entusiasmado me cuenta que gente particular, le donó 2 cocinas y una heladera, qu les facilitan la tarea. Asisten con comida a 140 personas los sábados y 140 personas los domingos",POSITIVO,salud animo sigure comedor funciona frente domicilio solicita donaciones municipio particulares entusiasmado gente particular dono _digit_ cocinas heladera qu facilitan tarea asisten comida _digit_ personas sabados _digit_ personas domingos,R
523,"Me comunico alrededor de las 12.00 horas. Me atiende Lidia, me dice que se encuentran bien. Justo están por almorzar, quedamos en que la llamo otro día durante la semana.",POSITIVO,comunico _digit_ _digit_ atiende encuentran justo almorzar quedamos llamo semana,R
524,Se vuelve a intentar llamado a AM al 47918088 pero N/A x2,NO RELEVANTE,vuelve llamado am _digit_ x_digit_,NR
525,"Agradece el llamado...es un acompañamiento. Se cuestiona porque no llega la factura de AVL, tiene que pagar y no le llegó.",NEUTRAL,agradece llamado acompanamiento cuestiona llega factura avl pagar,NR
526,"Hable con Silvia, se puso contenta con el llamado. Conversamos sobre su salud (medijo que estabaa bien) cansada nomas del encierro pero todo bien. Quedamos en que la llamo de nuevo la proxima semana.",NEGATIVO,hable puso contenta llamado conversamos salud medijo estabaa cansada nomas encierro quedamos llamo proxima semana,R
527,VUELVO A INTENTAR CONTACTO SIN EXITO,NO RELEVANTE,vuelvo contacto exito,NR
528,Se entrega  cuadernillo estimulación cognitiva ii en domicilio 21/8/20.,NECESIDADES OPERATIVAS,entrega cuadernillo estimulacion cognitiva ii domicilio _digit_ _digit_ _digit_,NEC_OP
529,hoy se fue a ver a maria zulema y se le entrego una medicacion que se necesitaba . ella esta muy bien asistida por su hermana,POSITIVO,zulema entrego medicacion necesitaba asistida hermana,R
530,Se entrega Cuadernillo Estimulación Cognitiva I y II en domicilio 14/8/20.,NECESIDADES OPERATIVAS,entrega cuadernillo estimulacion cognitiva ii domicilio _digit_ _digit_ _digit_,NEC_OP
531,La Sra. Esta bien muy bien de salud,POSITIVO,salud,R
532,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
533,INTENTO LLAMAR - N° OCUPADO (PIDE VOLVER A INTENTAR MÁS TARDE),NO RELEVANTE,llamar - ocupado pide volver,NR
534,11/6 le comuniqué a Ramon cómo hacer para obtener el bolsón de alimentos. Irá mañana a intentar retirarlo por sus propios medios.,NECESIDADES OPERATIVAS,_digit_ _digit_ comunique obtener bolson alimentos ira manana retirarlo medios,NEC_OP
535,"es una persona muy agradable, tiene 83 años. quiere recibir la caja de alimentos, va a ir su sobrino a retirarla con la nota a su no nombre y dni. Quiere que lo vuelva a llamar, le deje mi celular por cualquier cosa.",NECESIDADES OPERATIVAS,persona agradable _digit_ anos recibir caja alimentos sobrino retirarla nota nombre dni vuelva llamar deje celular cosa,NEC_OP
536,llamo nuevamente  naadie atiende,NO RELEVANTE,llamo nuevamente naadie atiende,NR
537,Conversamos de la nueva modalidad para retirar la caja de alimentos mediante un mail que envío solicitando cada 20 días y realizamos la encuesta.,NECESIDADES OPERATIVAS,conversamos modalidad retirar caja alimentos mail envio solicitando _digit_ realizamos encuesta,NEC_OP
538,"ANGELA BIEN, CUENTA QUE DURMIO MEJOR",POSITIVO,angela durmio,R
539,SE ENTREGO MATERIAL DE ESTIMULACION COGNITIVA 1 Y 2 EL DIA 14/08/2020,NECESIDADES OPERATIVAS,entrego material estimulacion cognitiva _digit_ _digit_ _digit_ _digit_ _digit_,NEC_OP
540,Sigue la característica congestionada,NO RELEVANTE,caracteristica congestionada,NR
541,"comunicación con su cuñada que cumple años, son 4 AM en la casa, dos adultos y dos niños. Hoy festejando, están bien, entretenidos y contenidos en familia. Tienen tecnología pero no mucho tiempo libre porque se ocupan de la casa y los chicos mientras los adultos activos trabajan (uno dede la casa y el otro afuera)",POSITIVO,comunicacion cunada cumple anos _digit_ am casa adultos ninos festejando entretenidos contenidos familia tecnologia libre ocupan casa chicos adultos activos trabajan dede casa afuera,R
542,La señora FLORES Inés se encuentra bien.,POSITIVO,senora flores,R
543,SE ENTREGO ALIMENTOS EN DOMICILIO EL 24/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
544,"Hablamos toda la semana, me pidió una tiras para medir la glucosa, hable con el 147, cargaron el pedido y le avisaban si se las podían dar. Ademas, me consultó si esta semana iba a recibir la caja de alimentos porque hace un mes no la recibe, mande mail a voluntarios me dijeron que no estaba asignado para recibirla esta semana porque estaban con muchos pedidos.",NECESIDADES OPERATIVAS,hablamos semana pidio tiras medir glucosa hable _digit_ cargaron pedido avisaban podian consulto semana iba recibir caja alimentos mes recibe mande mail voluntarios asignado recibirla semana pedidos,NEC_OP
545,Me sigue enviando directo a buzón.,NO RELEVANTE,enviando directo buzon,NR
546,"Hable con la esposa, Gilda, que la llamaron de Salud de la Municipalidad de Vicente Lopez para tratar de resolver el tema de los medicamentos que necesita el marido, que ahora solo les queda esperar a que lleguen a la salita donde se atiende.
Que se están manejando mucho con la caja de alimentos otorgados por la Municipalidad y esta muy agradecida.",NECESIDADES OPERATIVAS,hable esposa gilda llamaron salud municipalidad vicente lopez tratar resolver tema medicamentos necesita marido queda esperar lleguen salita atiende manejando caja alimentos otorgados municipalidad agradecida,NEC_OP
547,"Solicitudes varias, tramites telefonicos personales de la AM y solicitud de Caja alimentaria.",NECESIDADES OPERATIVAS,solicitudes tramites telefonicos personales am solicitud caja alimentaria,NEC_OP
548,Olga se va a comunicar con el 147 para chequear que fui la voluntaria real que asignaron para su asistencia. Quedamos en volver a comunicarnos el día de mañana a las 15 hs,NO RELEVANTE,comunicar _digit_ chequear voluntaria real asignaron asistencia quedamos volver comunicarnos manana _digit_ hs,NR
549,Aun no se contactaron de psicología ella esta muy angustiada me dio el ok para que la contacte un profesional por favor priorizarla lo antes posible. Ya pudo resolver el tema medico pero se la nota muy mal animicamente.,NEGATIVO,contactaron psicologia angustiada ok contacte profesional favor priorizarla posible resolver tema medico nota animicamente,R
550,Sin novedad,NO RELEVANTE,novedad,NR
551,"01/06/20 - 4to día intentando llamar a AM al 1551389901, pero va a correo de voz x2",NO RELEVANTE,_digit_ _digit_ _digit_ - _digit_to intentando llamar am _digit_ correo voz x_digit_,NR
552,Se llamó al AM el 3 y el 4 de Agosto. En ambos casos no hubo respusta.,NO RELEVANTE,llamo am _digit_ _digit_ agosto casos respusta,NR
553,NO RESPONDE EL TELEFONO HOY,NO RELEVANTE,responde telefono,NR
554,No contesto el llamdo le deje un mensaje en su contestador a ls 11:26,NO RELEVANTE,contesto llamdo deje mensaje contestador ls _digit_ _digit_,NR
555,No me pude comunicar.,NO RELEVANTE,pude comunicar,NR
556,"16/06/20 - Llamo a AM al 22013200 me atiende. Me presento, le comento el objetivo del Voluntariado. Ella vive sola, hace las compras al Carrefour que tiene a unas cuadras. Cuando le comento los distintos canales de atención del Municipio quiere saber lo de meds ya que se OSECAC le han dicho que tiene que gestionarlo por mail y ella no entiende mucho de computadoras. Ella necesita tomar carbedril 12,5 (para el corazón)En este caso le ofrezco intentar gestionarlo a través del Municipio, le pido unos datos y confirmo otros que ya están en la planilla. Quedamos en llamarla la semana que viene. Agradece y cortamos.",NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ - llamo am _digit_ atiende presento objetivo voluntariado vive compras carrefour cuadras distintos canales atencion municipio meds osecac gestionarlo mail entiende computadoras necesita tomar carbedril _digit_ _digit_ caso ofrezco gestionarlo municipio pido datos confirmo planilla quedamos llamarla semana viene agradece cortamos,NEC_OP
557,"hoy hable con leti, ella esta bien. charlamos de su perrita. esta de buen animo",POSITIVO,hable leti charlamos perrita animo,R
558,VOLUNTARIA,NO RELEVANTE,voluntaria,NR
559,Se entrega material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
560,se entrega alimentos en domicilio 31/7/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
561,"MARIA DEL CARMEN BIEN, ANSIOSA POR LA DECISION QUE SE TOME SOBRE LA  APERTURA DE NEGOGIOS",POSITIVO,carmen ansiosa decision apertura negogios,R
562,"Sigue realizando el aislamiento en su domicilio. Sólo saca a su perro 1 o 2 veces al día en la misma cuadra. Me contó que su hijo que tiene una pyme textil pequeña comenzó a trabajar lentamente vendiéndole a las provincias del interior del país. 
El señor Crispin  necesitaria la bolsa de alimentos porque cobra la minima y por su edad no puede salir a realizar changas, por lo que voy a enviar un e-mail solicitando que lo incorporen al recorriedo de entrega de alimentos y le alcancen la bolsa a su domicilio.",NECESIDADES OPERATIVAS,realizando aislamiento domicilio saca perro _digit_ _digit_ cuadra conto hijo pyme textil pequena comenzo trabajar lentamente vendiendole provincias interior senor necesitaria bolsa alimentos cobra minima edad salir changas enviar e-mail solicitando incorporen recorriedo entrega alimentos alcancen bolsa domicilio,NEC_OP
563,HABLE CON NORMA Y ME DIJO QUE ESTAN MUY BIEN PASARON BUEN FIN DE SEMANA,POSITIVO,hable pasaron semana,R
564,"Con este nuevo Nro de TE: si pude contactarme, hablo el esposo Sr. Oscar . me comenta que solo una ves se le acercaron a entregar las caja de alimentos si se podria recibir nuevamente dicha caja , La Sra. Elisa estaba ocupada",NECESIDADES OPERATIVAS,nro pude contactarme hablo esposo sr comenta ves acercaron entregar caja alimentos recibir nuevamente dicha caja elisa ocupada,NEC_OP
565,necesitan ayuda con alimentos,NECESIDADES OPERATIVAS,necesitan ayuda alimentos,NEC_OP
566,Se le envía toda la información respecto de la asistencia alimentaria a la voluntaria vía mail.,NO RELEVANTE,envia informacion asistencia alimentaria voluntaria via mail,NR
567,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
568,La Sra tiene certificado de discapacidad fue informada sobre el protocolo  para solicictar el abl.,NECESIDADES OPERATIVAS,certificado discapacidad informada protocolo solicictar abl,NEC_OP
569,"No pude comunicarme, envié mail a voluntarios para consultar si tienen otro nro. de tel. de la Sra.",NO RELEVANTE,pude comunicarme envie mail voluntarios consultar nro,NR
570,Le informo que no estaré participando más del voluntareado.,NO RELEVANTE,participando voluntareado,NR
571,Me comuniqué y le informé que pueden solicitar todo por el 147 los socios del club.,NEUTRAL,comunique informe solicitar _digit_ socios club,NR
572,"Se realizo el primer llamado de contacto, la señora se mostro muy amable y agradecida.",POSITIVO,llamado contacto senora mostro agradecida,R
573,"Se encuentran bien, envío por mail las actividades para que elijan y las cognitivas. Agradece el llamado.",NEUTRAL,encuentran envio mail actividades elijan cognitivas agradece llamado,NR
574,Hoy hablo bastante tiempo. Se la notó recíproca con su atención.  Comentó que esta al tanto de todo en v.lopez y que cualquier cosa ae comunica,NEUTRAL,hablo noto reciproca atencion lopez cosa ae comunica,NR
575,Sin novedad,NO RELEVANTE,novedad,NR
576,"Gracias a acción social que facilito el celular del Dr ya se pusieron en contacto, por el momento tema solucionado.",NEUTRAL,accion social facilito celular dr pusieron contacto tema solucionado,NR
577,HABLE CON  MARIA DEL CARMEN  ESTAN TODOS BIEN  MARINA Y HUMBERTO ESTABAN DESCANSANDO PERO ESTA MEJOR DE LA PIERNA,POSITIVO,hable carmen marina humberto descansando pierna,R
578,"10/06/20 - Llamo a AM al número que me dio sobrina la semana pasada:  1160016414. Me atiende AM, no se acuerda de mi. Le explico la ayuda que ofrece la Municipalidad. La caja de alimentos ya lo busca su hija. Cuando menciono la asistencia por medicamentos me indica que necesita: Dolo Baliartrin/Meloxicam y Aspirina Prevent. Al mismo tiempo me comenta una situación que le pasó con la Secretaria de Desarrollo Social: En Diciembre del año pasado la llamaron diciendo que por ser discapacitada le correspondia un bono de $2.000. Cuando fue a la municipalidad le indicaron que estaba en la lista pero estaban yendo por orden alfabético, le dieron el número de Desarrollo Social, cuando llama al mes le dice que siguen en la G porque no tenían más fondos en ese momento. Quería saber si se lo van a pagar o no, le duele la situación de que la hayan llamado diciendo que le iban a dar el bono y meses más tarde no le han pagado nada siendo que es discapacitada y cobra la jubilación y pensión mínima. Le prometo que les escribiré y estaré al tanto de cualquier novedad que me puedan decir tantos de los meds como lo del Bono. Agradece y cortamos",NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ - llamo am numero sobrina semana _digit_ atiende am acuerda ayuda ofrece municipalidad caja alimentos busca hija asistencia medicamentos indica necesita dolo baliartrin meloxicam aspirina prevent comenta situacion paso secretaria desarrollo social diciembre ano llamaron diciendo discapacitada correspondia $_digit_ _digit_ municipalidad indicaron lista yendo orden alfabetico numero desarrollo social llama mes siguen fondos queria pagar duele situacion llamado diciendo iban meses pagado discapacitada cobra jubilacion pension minima prometo escribire novedad puedan tantos meds agradece cortamos,NEC_OP
579,SE ENCUENTRA BIEN ASISTIDA POR FAMILIARES .,POSITIVO,asistida familiares,R
580,"Se encuentra bien, tiene quien la asista.",POSITIVO,asista,R
581,Se encuentra bien. Le ofrecí enviarle los ejercicios de entrenamiento cognitivos pero no le interesan.,POSITIVO,ofreci enviarle ejercicios entrenamiento cognitivos interesan,R
582,SU HIJA LA ESTA ASISTIENDO - IGUAL QUIERE Q LA SIGUA LLAMANDO PARA CHARLAR,NEUTRAL,hija asistiendo - sigua llamando charlar,NR
583,"Barrio Las Flores: si pudieran pasar a hablar con la gente a hacerles hisopados, a pedirles que se queden dentro de su casa. Toda la gente anda por la calle, algunos sin barbijo, otros sí. Si pudieran venir. Los chicos jugando en la calle a la pelota, solos.
Tambien vive sobre una calle de tierra y pidió reiteradas veces que asfalten, se junta mugre, mosquitos, por favor tengan en cuenta estas situaciones.",NECESIDADES OPERATIVAS,barrio flores pudieran pasar hablar gente hacerles hisopados pedirles queden casa gente anda calle barbijo pudieran venir chicos jugando calle pelota vive calle tierra pidio reiteradas asfalten junta mugre mosquitos favor situaciones,NEC_OP
584,"está muy bien, y de muy buen ánimo",POSITIVO,animo,R
585,"HABLO CON AM, NO SE HIZO LOS LABORATORIOS DE SANGRE PERO ESPERARÁ UN MES MAS PARA NO TENER QUE SALIR EN PLENO PICO. YA SU HIJO LE SACÓ EL PERMISO Y CUANDO DEBA HACÉRSELOS, LO RENOVARÁ.",NEUTRAL,hablo am laboratorios sangre esperara mes salir pleno pico hijo saco permiso deba hacerselos renovara,NR
586,"Necesitan la caja de alimentos y la tablet, estan todos muy bien.",NECESIDADES OPERATIVAS,necesitan caja alimentos tablet,NEC_OP
587,"Esta bien, atendió la nieta, ya almorzaron, controlada su presión y felices y agradecidos por el llamado.",POSITIVO,atendio nieta almorzaron controlada presion felices agradecidos llamado,R
588,La señora Slaukin Ana se encuentra bien junto a su marido.,POSITIVO,senora slaukin ana marido,R
589,Se encuentra bien. Fue informada sobre el protocolo para solicitar el abl.,POSITIVO,informada protocolo solicitar abl,R
590,SE EMO PERO SALE UN AUDIO QU E DICE QUE EL TELEFONO ESTA INCORRECTO O HA SIDO DESCONECTADO 12:20 HS,NO RELEVANTE,emo sale audio qu telefono incorrecto desconectado _digit_ _digit_ hs,NR
591,"esta de muy buen animo, tiene quien la asista, pacte nueva llamada para charlar porque a veces se aburre",POSITIVO,animo asista pacte llamada charlar aburre,R
592,"La contacte para presentarme. Me menciona que nunca se habia contactado nadie con ella antes. Le dejé todos mis datos y nro de celular y le explico la finalidad del programa. Se muestra muy agradecida por la asistencia y dice que es ""un mimo"". Quedamos que cualquien cosa me envia mensaje",NEUTRAL,contacte presentarme menciona contactado deje datos nro celular finalidad programa muestra agradecida asistencia mimo quedamos cualquien cosa envia mensaje,NR
593,"su hija y su yerno la visitan  y asisten todas las semanas , me agradece ... no le interesa.",POSITIVO,hija yerno visitan asisten semanas agradece interesa,R
594,"Llamo a AM a 4794-2479, en la llamada pactada pero sin respuesta alguna, en 2 ocasiones.",NO RELEVANTE,llamo am _digit_-_digit_ llamada pactada respuesta _digit_ ocasiones,NR
595,"Animada la anote en dibujo,esta feliz empieza el martes 11/8 por zoom",POSITIVO,animada anote dibujo feliz empieza martes _digit_ _digit_ zoom,R
596,La Señora Malatesta Nélida se encuentra bien.,POSITIVO,senora malatesta,R
597,ya lo contactaron para los cursos. el curso de italiano no le es práctico. hablan todos juntos y van muy rápido. La caja le llegó bien.,NEUTRAL,contactaron cursos curso italiano practico juntos rapido caja,NR
598,Solicita atención psicológica porque  siente que tiene ataques de panico,NECESIDADES OPERATIVAS,solicita atencion psicologica siente ataques panico,NEC_OP
599,La sra se encuentra bien. De muy buen humor.,POSITIVO,humor,R
600,"Sigue con el tejido, se manifestó contenta por ser visitada por la nieta. No tiene computadora, solicité la tablet, esperando respuesta.",NECESIDADES OPERATIVAS,tejido contenta visitada nieta computadora solicite tablet esperando respuesta,NEC_OP
601,"Hablé con Jorge y Cecilia, todo ok",POSITIVO,hable jorge ok,R
602,Hablé con el Sr. Osvaldo Barbieri y le pasé los datos de los puestos donde retirar el bolsón de comida.,NECESIDADES OPERATIVAS,hable sr osvaldo barbieri pase datos puestos retirar bolson comida,NEC_OP
603,bien de ánimo.,POSITIVO,animo,R
604,Sin novedad,NO RELEVANTE,novedad,NR
605,Sofía me envía las fotos de las recetas y facturas de las farmacias para que las cargue en OSDE. Como hubo un error en como me las envió quedamos que el martes 16/06 me las vuelve a remitir para hacer el trámite. Marcela también me comenta que estaba mucho mejor de ánimo. Cuando está con alguien se siente protegida y se le pasa el miedo.,NECESIDADES OPERATIVAS,envia fotos recetas facturas farmacias cargue osde error envio quedamos martes _digit_ _digit_ vuelve remitir tramite comenta animo alguien siente protegida pasa miedo,NEC_OP
606,"Hablamos y completamos la ficha integral, le interesa participar de las videollamadas con la computadora ya que no tiene celular con wasap",NEUTRAL,hablamos completamos ficha integral interesa participar videollamadas computadora celular wasap,NR
607,Domingo se encuentra bien de ánimo y se maneja sin problemas,POSITIVO,domingo animo maneja problemas,R
608,"Me comenta el sobrino que la ayudaba que rosa tiene covid desde el domingo.
ellos estan aislados pero no les hcieron el isopado",NEGATIVO,comenta sobrino ayudaba rosa covid domingo aislados hcieron isopado,R
609,Se realizó el reclamo al área correspondiente para el envío de alimentos a domicilio.,NECESIDADES OPERATIVAS,reclamo area correspondiente envio alimentos domicilio,NEC_OP
610,"No tengo relación con este Sr. Sólo quiere alimentos y artículos de limpieza. Los pedidos están realizados, hasta donde sé, los alimentos se los entregan periódicamente. Lo llamaré para informarle de mi alejamiento, si así lo solicitan",NECESIDADES OPERATIVAS,relacion sr alimentos articulos limpieza pedidos realizados alimentos entregan periodicamente llamare informarle alejamiento solicitan,NEC_OP
611,Llame a Adriana para ver como se encontraba y si recibio el bolson de alimentos.,NO RELEVANTE,llame encontraba recibio bolson alimentos,NR
